Time,Price,%,SD
11/03 10:21,"1,492.99",0.79,10.43
Base,High,Low,CALL,,PUT,Low,High,Base
4021,4860,4750,4750,1450,460,450,590,873
3217,4040,3900,3900,1460,600,590,750,1091
2503,3220,2960,3070,1470,790,760,960,1373
1853,2460,2100,2330,1480,1050,1000,1310,1706
1296,1800,1550,1680,1490,1390,1330,1470,2179
851,1210,1090,1120,1500,1840,1760,1910,2728
527,770,650,710,1510,2420,2310,2420,3413
302,450,410,420,1520,3140,3000,3140,4189
170,260,230,230,1530,3930,3840,3940,4987
94,140,125,125,1540,4810,4690,4830,5914
Time,Price,%,SD
11/03 10:22,"1,492.99",0.79,10.43
Base,High,Low,CALL,,PUT,Low,High,Base
4021,4860,4750,4770,1450,460,450,590,873
3217,4040,3900,3900,1460,600,590,750,1091
2503,3220,2960,3070,1470,790,760,960,1373
1853,2460,2100,2340,1480,1040,1000,1310,1706
1296,1800,1550,1680,1490,1380,1330,1470,2179
851,1210,1090,1140,1500,1840,1760,1910,2728
527,770,650,700,1510,2400,2310,2420,3413
302,450,410,420,1520,3110,3000,3140,4189
170,260,230,230,1530,3940,3840,3940,4987
94,140,125,125,1540,4840,4690,4830,5914
Time,Price,%,SD
11/03 10:43,"1,494.74",0.90,10.43
Base,High,Low,CALL,,PUT,Low,High,Base
4021,4860,4750,4830,1450,440,440,590,873
3217,4040,3900,3950,1460,580,570,750,1091
2503,3220,2960,3130,1470,760,750,960,1373
1853,2460,2100,2380,1480,1010,980,1310,1706
1296,1800,1550,1710,1490,1340,1310,1470,2179
851,1210,1090,1160,1500,1780,1730,1910,2728
527,770,650,730,1510,2350,2300,2430,3413
302,450,410,430,1520,3060,3000,3140,4189
170,260,230,240,1530,3940,3830,3940,4987
94,140,125,135,1540,4760,4690,4840,5914
Time,Price,%,SD
11/03 10:45,"1,495.02",0.92,10.43
Base,High,Low,CALL,,PUT,Low,High,Base
4021,4860,4750,4850,1450,440,440,590,873
3217,4040,3900,3980,1460,570,570,750,1091
2503,3220,2960,3170,1470,750,750,960,1373
1853,2460,2100,2400,1480,980,980,1310,1706
1296,1800,1550,1730,1490,1310,1310,1470,2179
851,1210,1090,1180,1500,1750,1730,1910,2728
527,770,650,740,1510,2310,2300,2430,3413
302,450,410,440,1520,3020,3000,3140,4189
170,260,230,240,1530,3830,3830,3940,4987
94,140,125,140,1540,4740,4690,4840,5914
Time,Price,%,SD
11/03 10:47,"1,495.02",0.92,10.43
Base,High,Low,CALL,,PUT,Low,High,Base
4021,4860,4750,4850,1450,440,440,590,873
3217,4040,3900,3980,1460,570,570,750,1091
2503,3220,2960,3170,1470,750,750,960,1373
1853,2460,2100,2400,1480,980,980,1310,1706
1296,1800,1550,1730,1490,1310,1310,1470,2179
851,1210,1090,1180,1500,1750,1730,1910,2728
527,770,650,740,1510,2310,2300,2430,3413
302,450,410,440,1520,3020,3000,3140,4189
170,260,230,240,1530,3830,3830,3940,4987
94,140,125,140,1540,4740,4690,4840,5914
Time,Price,%,SD
11/03 10:49,"1,495.02",0.92,10.43
Base,High,Low,CALL,,PUT,Low,High,Base
4021,4860,4750,4840,1450,430,430,590,873
3217,4040,3900,3980,1460,580,570,750,1091
2503,3220,2960,3160,1470,760,750,960,1373
1853,2460,2100,2400,1480,1000,980,1310,1706
