Time,Price,%,SD
28/03 09:44,"1,438.00",-0.72,11.89
Base,High,Low,CALL,,PUT,Low,High,Base
5866,0,0,5866,1390,26,20,30,17
4824,4010,3870,3910,1400,46,34,48,31
3745,3000,2900,2930,1410,86,66,94,44
2817,2100,1910,2000,1420,150,115,220,78
1910,1600,1090,1130,1430,280,250,330,134
1050,520,410,460,1440,610,540,670,290
401,140,60,96,1450,1250,1140,1300,638
141,48,20,30,1460,2180,2060,2230,1365
43,16,6,12,1470,3160,3050,3200,2264
18,8,5,5,1480,4160,4130,4170,3250
Time,Price,%,SD
28/03 09:46,"1,438.00",-0.72,11.89
Base,High,Low,CALL,,PUT,Low,High,Base
5866,0,0,5866,1390,26,20,30,17
4824,4010,3870,3910,1400,46,34,48,31
3745,3000,2900,2930,1410,86,66,94,44
2817,2100,1910,2000,1420,150,115,220,78
1910,1600,1090,1130,1430,280,250,330,134
1050,520,410,460,1440,610,540,670,290
401,140,60,96,1450,1250,1140,1300,638
141,48,20,30,1460,2180,2060,2230,1365
43,16,6,12,1470,3160,3050,3200,2264
18,8,5,5,1480,4160,4130,4170,3250
Time,Price,%,SD
28/03 09:48,"1,438.00",-0.72,11.89
Base,High,Low,CALL,,PUT,Low,High,Base
5866,0,0,5866,1390,26,20,30,17
4824,4010,3870,3910,1400,46,34,48,31
3745,3000,2900,2930,1410,86,66,94,44
2817,2100,1910,2000,1420,150,115,220,78
1910,1600,1090,1130,1430,280,250,330,134
1050,520,410,460,1440,610,540,670,290
401,140,60,96,1450,1250,1140,1300,638
141,48,20,30,1460,2180,2060,2230,1365
43,16,6,12,1470,3160,3050,3200,2264
18,8,5,5,1480,4160,4130,4170,3250
Time,Price,%,SD
28/03 09:55,"1,438.00",-0.72,11.89
Base,High,Low,CALL,,PUT,Low,High,Base
5866,0,0,5866,1390,26,20,30,17
4824,4010,3870,3910,1400,46,34,48,31
3745,3000,2900,2930,1410,86,66,94,44
2817,2100,1910,2000,1420,150,115,220,78
1910,1600,1090,1130,1430,280,250,330,134
1050,520,410,460,1440,610,540,670,290
401,140,60,96,1450,1250,1140,1300,638
141,48,20,30,1460,2180,2060,2230,1365
43,16,6,12,1470,3160,3050,3200,2264
18,8,5,5,1480,4160,4130,4170,3250
Time,Price,%,SD
28/03 09:57,"1,438.00",-0.72,11.89
Base,High,Low,CALL,,PUT,Low,High,Base
5866,0,0,5866,1390,26,20,30,17
4824,4010,3870,3910,1400,46,34,48,31
3745,3000,2900,2930,1410,86,66,94,44
2817,2100,1910,2000,1420,150,115,220,78
1910,1600,1090,1130,1430,280,250,330,134
1050,520,410,460,1440,610,540,670,290
401,140,60,96,1450,1250,1140,1300,638
141,48,20,30,1460,2180,2060,2230,1365
43,16,6,12,1470,3160,3050,3200,2264
18,8,5,5,1480,4160,4130,4170,3250
Time,Price,%,SD
28/03 10:03,"1,438.00",-0.72,11.89
Base,High,Low,CALL,,PUT,Low,High,Base
5866,0,0,5866,1390,26,20,30,17
4824,4010,3870,3910,1400,46,34,48,31
3745,3000,2900,2930,1410,86,66,94,44
2817,2100,1910,2000,1420,150,115,220,78
1910,1600,1090,1130,1430,280,250,330,134
1050,520,410,460,1440,610,540,670,290
401,140,60,96,1450,1250,1140,1300,638
141,48,20,30,1460,2180,2060,2230,1365
43,16,6,12,1470,3160,3050,3200,2264
18,8,5,5,1480,4160,4130,4170,3250
Time,Price,%,SD
28/03 10:04,"1,437.67",-0.75,11.89
Base,High,Low,CALL,,PUT,Low,High,Base
5866,0,0,5866,1390,26,20,30,17
4824,4010,3870,3910,1400,46,34,48,31
