Time,Price,%,SD
08/03 09:25,"1,778.33",20.20,10.46
Base,High,Low,CALL,,PUT,Low,High,Base
0,0,0,0,1730,0,0,0,0
2,0,0,2,1740,0,0,0,0
1,0,0,1,1750,0,0,0,0
1,0,0,1,1760,0,0,0,0
1,0,0,1,1770,0,0,0,0
1,0,0,1,1780,0,0,0,0
6,0,0,6,1790,0,0,0,0
1,0,0,1,1800,30474,0,0,30474
4,0,0,4,1810,0,0,0,0
4,0,0,4,1820,0,0,0,0
Time,Price,%,SD
08/03 09:27,"1,778.33",20.20,10.46
Base,High,Low,CALL,,PUT,Low,High,Base
0,0,0,0,1730,0,0,0,0
2,0,0,2,1740,0,0,0,0
1,0,0,1,1750,0,0,0,0
1,0,0,1,1760,0,0,0,0
1,0,0,1,1770,0,0,0,0
1,0,0,1,1780,0,0,0,0
6,0,0,6,1790,0,0,0,0
1,0,0,1,1800,30474,0,0,30474
4,0,0,4,1810,0,0,0,0
4,0,0,4,1820,0,0,0,0
Time,Price,%,SD
08/03 09:29,"1,778.33",20.20,10.46
Base,High,Low,CALL,,PUT,Low,High,Base
0,0,0,0,1730,0,0,0,0
2,0,0,2,1740,0,0,0,0
1,0,0,1,1750,0,0,0,0
1,0,0,1,1760,0,0,0,0
1,0,0,1,1770,0,0,0,0
1,0,0,1,1780,0,0,0,0
6,0,0,6,1790,0,0,0,0
1,0,0,1,1800,30474,0,0,30474
4,0,0,4,1810,0,0,0,0
4,0,0,4,1820,0,0,0,0
Time,Price,%,SD
08/03 09:31,"1,514.30",2.35,10.46
Base,High,Low,CALL,,PUT,Low,High,Base
2482,0,0,2482,1470,1499,0,0,1499
1854,0,0,1854,1480,1860,0,0,1860
1317,0,0,1317,1490,2322,0,0,2322
878,0,0,878,1500,2904,0,0,2904
550,0,0,550,1510,3599,0,0,3599
330,0,0,330,1520,4496,0,0,4496
182,0,0,182,1530,5414,0,0,5414
110,0,0,110,1540,6408,0,0,6408
56,0,0,56,1550,7334,0,0,7334
34,0,0,34,1560,8499,0,0,8499
Time,Price,%,SD
08/03 09:33,"1,514.30",2.35,10.46
Base,High,Low,CALL,,PUT,Low,High,Base
2482,0,0,2482,1470,1499,0,0,1499
1854,0,0,1854,1480,1860,0,0,1860
1317,0,0,1317,1490,2322,0,0,2322
878,0,0,878,1500,2904,0,0,2904
550,0,0,550,1510,3599,0,0,3599
330,0,0,330,1520,4496,0,0,4496
182,0,0,182,1530,5414,0,0,5414
110,0,0,110,1540,6408,0,0,6408
56,0,0,56,1550,7334,0,0,7334
34,0,0,34,1560,8499,0,0,8499
Time,Price,%,SD
08/03 09:35,"1,542.29",4.25,10.46
Base,High,Low,CALL,,PUT,Low,High,Base
878,0,0,878,1500,2904,0,0,2904
550,0,0,550,1510,3599,0,0,3599
330,0,0,330,1520,4496,0,0,4496
182,0,0,182,1530,5414,0,0,5414
110,0,0,110,1540,6408,0,0,6408
56,0,0,56,1550,7334,0,0,7334
34,0,0,34,1560,8499,0,0,8499
22,0,0,22,1570,9447,0,0,9447
15,0,0,15,1580,10443,0,0,10443
11,0,0,11,1590,4913,0,0,4913
Time,Price,%,SD
08/03 09:37,"1,542.29",4.25,10.46
