Time,Price,%,SD
20/03 09:30,"1,494.66",0.52,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
3902,0,0,3902,1450,260,0,0,260
3000,0,0,3000,1460,383,0,0,383
2172,0,0,2172,1470,554,0,0,554
1432,0,0,1432,1480,814,0,0,814
845,0,0,845,1490,1226,0,0,1226
455,0,0,455,1500,1830,0,0,1830
237,0,0,237,1510,2592,0,0,2592
125,0,0,125,1520,3510,0,0,3510
71,0,0,71,1530,4432,0,0,4432
38,0,0,38,1540,5323,0,0,5323
Time,Price,%,SD
20/03 09:33,"1,494.66",0.52,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
3902,0,0,3902,1450,260,0,0,260
3000,0,0,3000,1460,383,0,0,383
2172,0,0,2172,1470,554,0,0,554
1432,0,0,1432,1480,814,0,0,814
845,0,0,845,1490,1226,0,0,1226
455,0,0,455,1500,1830,0,0,1830
237,0,0,237,1510,2592,0,0,2592
125,0,0,125,1520,3510,0,0,3510
71,0,0,71,1530,4432,0,0,4432
38,0,0,38,1540,5323,0,0,5323
Time,Price,%,SD
20/03 09:35,"1,486.13",-0.05,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
4816,0,0,4816,1440,191,0,0,191
3902,0,0,3902,1450,260,0,0,260
3000,0,0,3000,1460,383,0,0,383
2172,0,0,2172,1470,554,0,0,554
1432,0,0,1432,1480,814,0,0,814
845,0,0,845,1490,1226,0,0,1226
455,0,0,455,1500,1830,0,0,1830
237,0,0,237,1510,2592,0,0,2592
125,0,0,125,1520,3510,0,0,3510
71,0,0,71,1530,4432,0,0,4432
Time,Price,%,SD
20/03 09:37,"1,486.13",-0.05,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
4816,5000,5000,4816,1440,191,160,175,191
3902,0,0,3902,1450,260,220,230,260
3000,3170,3170,3000,1460,383,320,330,383
2172,2310,2300,2172,1470,554,470,490,554
1432,1600,1530,1432,1480,814,720,730,814
845,990,930,845,1490,1226,1030,1200,1226
455,600,500,455,1500,1830,1670,1690,1830
237,280,260,237,1510,2592,2420,2460,2592
125,140,125,125,1520,3510,0,0,3510
71,78,76,71,1530,4432,0,0,4432
Time,Price,%,SD
20/03 09:38,"1,486.13",-0.05,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
4816,5000,5000,5000,1440,170,160,175,191
3902,0,0,3902,1450,220,220,230,260
3000,3170,3170,3170,1460,320,320,330,383
2172,2310,2300,2310,1470,470,470,490,554
1432,1600,1530,1560,1480,720,720,730,814
845,990,930,940,1490,1100,1030,1200,1226
455,600,500,520,1500,1670,1670,1690,1830
237,280,260,270,1510,2460,2420,2460,2592
125,140,125,135,1520,3510,0,0,3510
71,78,76,78,1530,4432,0,0,4432
Time,Price,%,SD
20/03 09:40,"1,484.71",-0.15,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
4816,5000,5000,5000,1440,170,160,175,191
3902,0,0,3902,1450,220,220,230,260
3000,3170,3170,3170,1460,320,320,330,383
2172,2310,2300,2310,1470,470,470,490,554
1432,1600,1530,1560,1480,720,720,730,814
845,990,930,940,1490,1100,1030,1200,1226
455,600,500,520,1500,1670,1670,1690,1830
237,280,260,270,1510,2460,2420,2460,2592
125,140,125,135,1520,3510,0,0,3510
71,78,76,78,1530,4432,0,0,4432
Time,Price,%,SD
20/03 09:43,"1,489.92",0.20,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
4816,5000,5000,5000,1440,170,160,175,191
3902,0,0,3902,1450,220,220,230,260
3000,3170,3170,3170,1460,320,320,330,383
2172,2310,2300,2310,1470,470,470,490,554
1432,1600,1530,1560,1480,720,720,730,814
845,990,930,940,1490,1100,1030,1200,1226
455,600,500,520,1500,1670,1670,1690,1830
237,280,260,270,1510,2460,2420,2460,2592
125,140,125,135,1520,3510,0,0,3510
71,78,76,78,1530,4432,0,0,4432
Time,Price,%,SD
20/03 09:45,"1,489.92",0.20,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
4816,5000,5000,5020,1440,140,160,175,191
3902,0,0,4100,1450,200,220,230,260
3000,3170,3170,3220,1460,290,320,330,383
2172,2310,2300,2360,1470,430,470,490,554
1432,1600,1530,1590,1480,660,720,730,814
845,990,930,960,1490,1030,1030,1200,1226
455,600,500,520,1500,1600,1670,1690,1830
237,280,260,270,1510,2340,2420,2460,2592
125,140,125,140,1520,3250,0,0,3510
71,78,76,72,1530,4160,0,0,4432
Time,Price,%,SD
20/03 09:47,"1,489.92",0.20,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
4816,5090,5000,5020,1440,140,135,175,191
3902,4100,4050,4100,1450,200,195,230,260
3000,3240,3140,3220,1460,290,290,330,383
2172,2400,2290,2360,1470,430,420,490,554
1432,1630,1520,1590,1480,660,650,730,814
845,990,920,960,1490,1030,1010,1200,1226
455,600,500,520,1500,1600,1570,1690,1830
237,290,260,270,1510,2340,2310,2460,2592
125,150,125,140,1520,3250,3190,3260,3510
71,78,68,72,1530,4160,4110,4200,4432
Time,Price,%,SD
20/03 09:49,"1,489.92",0.20,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
4816,5090,5000,5020,1440,140,135,175,191
3902,4100,4050,4100,1450,200,195,230,260
3000,3240,3140,3220,1460,290,290,330,383
2172,2400,2290,2360,1470,430,420,490,554
1432,1630,1520,1590,1480,660,650,730,814
845,990,920,960,1490,1030,1010,1200,1226
455,600,500,520,1500,1600,1570,1690,1830
237,290,260,270,1510,2340,2310,2460,2592
125,150,125,140,1520,3250,3190,3260,3510
71,78,68,72,1530,4160,4110,4200,4432
Time,Price,%,SD
20/03 09:52,"1,489.92",0.20,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
4816,5090,5000,5020,1440,140,135,175,191
3902,4100,4050,4100,1450,200,195,230,260
3000,3240,3140,3220,1460,290,290,330,383
2172,2400,2290,2360,1470,430,420,490,554
1432,1630,1520,1590,1480,660,650,730,814
845,990,920,960,1490,1030,1010,1200,1226
455,600,500,520,1500,1600,1570,1690,1830
237,290,260,270,1510,2340,2310,2460,2592
125,150,125,140,1520,3250,3190,3260,3510
71,78,68,72,1530,4160,4110,4200,4432
Time,Price,%,SD
20/03 09:54,"1,489.92",0.20,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
4816,5090,5000,5020,1440,140,135,175,191
3902,4100,4050,4100,1450,200,195,230,260
3000,3240,3140,3220,1460,290,290,330,383
2172,2400,2290,2360,1470,430,420,490,554
1432,1630,1520,1590,1480,660,650,730,814
845,990,920,960,1490,1030,1010,1200,1226
455,600,500,520,1500,1600,1570,1690,1830
237,290,260,270,1510,2340,2310,2460,2592
125,150,125,140,1520,3250,3190,3260,3510
71,78,68,72,1530,4160,4110,4200,4432
Time,Price,%,SD
20/03 09:57,"1,489.92",0.20,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
4816,5090,5000,5020,1440,140,135,175,191
3902,4100,4050,4100,1450,200,195,230,260
3000,3240,3140,3220,1460,290,290,330,383
2172,2400,2290,2360,1470,430,420,490,554
1432,1630,1520,1590,1480,660,650,730,814
845,990,920,960,1490,1030,1010,1200,1226
455,600,500,520,1500,1600,1570,1690,1830
237,290,260,270,1510,2340,2310,2460,2592
125,150,125,140,1520,3250,3190,3260,3510
71,78,68,72,1530,4160,4110,4200,4432
Time,Price,%,SD
20/03 09:58,"1,489.92",0.20,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
4816,5090,5000,5020,1440,140,135,175,191
3902,4100,4050,4100,1450,200,195,230,260
3000,3240,3140,3220,1460,290,290,330,383
2172,2400,2290,2360,1470,430,420,490,554
1432,1630,1520,1590,1480,660,650,730,814
845,990,920,960,1490,1030,1010,1200,1226
455,600,500,520,1500,1600,1570,1690,1830
237,290,260,270,1510,2340,2310,2460,2592
125,150,125,140,1520,3250,3190,3260,3510
71,78,68,72,1530,4160,4110,4200,4432
Time,Price,%,SD
20/03 10:05,"1,489.92",0.20,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
4816,5090,5000,5020,1440,140,135,175,191
3902,4100,4050,4100,1450,200,195,230,260
3000,3240,3140,3220,1460,290,290,330,383
2172,2400,2290,2360,1470,430,420,490,554
1432,1630,1520,1590,1480,660,650,730,814
845,990,920,950,1490,1030,1010,1200,1226
455,600,500,520,1500,1600,1570,1690,1830
237,290,260,270,1510,2340,2310,2460,2592
125,150,125,140,1520,3250,3190,3260,3510
71,78,68,72,1530,4160,4110,4200,4432
Time,Price,%,SD
20/03 10:07,"1,489.97",0.21,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
4816,5090,5000,5020,1440,140,135,175,191
3902,4100,4050,4100,1450,200,195,230,260
3000,3240,3140,3220,1460,290,290,330,383
2172,2400,2290,2360,1470,430,420,490,554
1432,1630,1520,1590,1480,660,650,730,814
845,990,920,950,1490,1030,1010,1200,1226
455,600,500,520,1500,1600,1570,1690,1830
237,290,260,270,1510,2340,2310,2460,2592
125,150,125,140,1520,3250,3190,3260,3510
71,78,68,72,1530,4160,4110,4200,4432
Time,Price,%,SD
20/03 10:11,"1,488.61",0.11,10.74
Base,High,Low,CALL,,PUT,Low,High,Base
4816,5090,5000,5020,1440,145,135,175,191
3902,4110,4050,4110,1450,200,195,230,260
3000,3240,3140,3200,1460,300,290,330,383
2172,2400,2290,2340,1470,440,420,490,554
1432,1630,1520,1580,1480,670,650,730,814
845,990,920,950,1490,1050,1010,1200,1226
455,600,500,520,1500,1610,1570,1690,1830
237,290,260,260,1510,2360,2310,2460,2592
125,150,125,140,1520,3230,3190,3260,3510
71,78,68,72,1530,4180,4110,4200,4432
Time,Price,%,SD
