Time,Price,%,SD
26/03 10:38,"1,440.06",0.87,11.70
Base,High,Low,CALL,,PUT,Low,High,Base
3136,4140,3910,4050,1400,110,92,195,388
2258,3220,2950,3110,1410,165,150,290,576
1528,2320,2020,2240,1420,290,270,460,842
934,1570,1320,1480,1430,500,110,710,1250
555,980,780,860,1440,870,850,1160,1849
296,530,400,440,1450,1460,1420,1760,2602
146,290,185,200,1460,2210,2170,2550,3438
70,110,76,84,1470,3110,3040,3410,4340
34,44,32,36,1480,4060,4020,4320,5144
17,22,15,17,1490,5040,4960,5200,6256
Time,Price,%,SD
26/03 10:45,"1,441.45",0.97,11.70
Base,High,Low,CALL,,PUT,Low,High,Base
3136,4140,3910,4130,1400,96,92,195,388
2258,3220,2950,3200,1410,155,150,290,576
1528,2320,2020,2270,1420,260,260,460,842
934,1570,1320,1480,1430,470,110,710,1250
555,980,780,860,1440,850,840,1160,1849
296,530,400,430,1450,1420,1410,1760,2602
146,290,185,195,1460,2180,2170,2550,3438
70,110,76,86,1470,3050,3040,3410,4340
34,44,32,40,1480,4010,4010,4320,5144
17,22,15,17,1490,5000,4960,5200,6256
Time,Price,%,SD
26/03 10:47,"1,441.45",0.97,11.70
Base,High,Low,CALL,,PUT,Low,High,Base
3136,4140,3910,4130,1400,94,92,195,388
2258,3220,2950,3180,1410,155,150,290,576
1528,2320,2020,2290,1420,260,260,460,842
934,1570,1320,1490,1430,460,110,710,1250
555,980,780,860,1440,820,840,1160,1849
296,530,400,430,1450,1400,1410,1760,2602
146,290,185,190,1460,2170,2170,2550,3438
70,110,76,80,1470,3050,3040,3410,4340
34,44,32,36,1480,3990,4010,4320,5144
17,22,15,17,1490,4970,4960,5200,6256
Time,Price,%,SD
26/03 10:48,"1,441.45",0.97,11.70
Base,High,Low,CALL,,PUT,Low,High,Base
3136,4140,3910,4130,1400,94,90,195,388
2258,3220,2950,3180,1410,155,150,290,576
1528,2320,2020,2290,1420,260,240,460,842
934,1570,1320,1490,1430,460,110,710,1250
555,980,780,860,1440,820,810,1160,1849
296,530,400,430,1450,1400,1380,1760,2602
146,290,185,190,1460,2170,2140,2550,3438
70,110,76,80,1470,3050,3030,3410,4340
34,44,32,36,1480,3990,3990,4320,5144
17,22,15,17,1490,4970,4960,5200,6256
Time,Price,%,SD
26/03 10:50,"1,442.13",1.01,11.70
Base,High,Low,CALL,,PUT,Low,High,Base
3136,4140,3910,4130,1400,94,90,195,388
2258,3300,2950,3180,1410,155,135,290,576
1528,2380,2020,2290,1420,260,240,460,842
934,1570,1320,1490,1430,460,110,710,1250
555,980,780,860,1440,820,730,1160,1849
296,530,400,430,1450,1400,1290,1760,2602
146,290,185,190,1460,2170,2050,2550,3438
70,110,76,80,1470,3050,2930,3410,4340
34,44,32,36,1480,3990,3850,4320,5144
17,22,15,17,1490,4970,4840,5200,6256
Time,Price,%,SD
26/03 10:55,"1,442.87",1.06,11.70
Base,High,Low,CALL,,PUT,Low,High,Base
3136,4240,3910,4240,1400,94,90,195,388
2258,3300,2950,3260,1410,135,135,290,576
1528,2380,2020,2380,1420,240,240,460,842
934,1570,1320,1570,1430,410,110,710,1250
555,980,780,910,1440,750,730,1160,1849
296,530,400,460,1450,1290,1290,1760,2602
146,290,185,200,1460,2050,2050,2550,3438
