Time,Price,%,SD
13/03 09:25,"1,500.43",0.45,10.54
Base,High,Low,CALL,,PUT,Low,High,Base
3900,0,0,3900,1460,504,0,0,504
2999,0,0,2999,1470,685,0,0,685
2268,0,0,2268,1480,927,0,0,927
1614,0,0,1614,1490,1254,0,0,1254
1099,0,0,1099,1500,1739,0,0,1739
696,0,0,696,1510,2344,0,0,2344
420,0,0,420,1520,3082,0,0,3082
252,0,0,252,1530,3879,0,0,3879
148,0,0,148,1540,4478,0,0,4478
88,0,0,88,1550,5428,0,0,5428
Time,Price,%,SD
13/03 09:27,"1,500.43",0.45,10.54
Base,High,Low,CALL,,PUT,Low,High,Base
3900,0,0,3900,1460,504,0,0,504
2999,0,0,2999,1470,685,0,0,685
2268,0,0,2268,1480,927,0,0,927
1614,0,0,1614,1490,1254,0,0,1254
1099,0,0,1099,1500,1739,0,0,1739
696,0,0,696,1510,2344,0,0,2344
420,0,0,420,1520,3082,0,0,3082
252,0,0,252,1530,3879,0,0,3879
148,0,0,148,1540,4478,0,0,4478
88,0,0,88,1550,5428,0,0,5428
Time,Price,%,SD
13/03 09:29,"1,500.43",0.45,10.54
Base,High,Low,CALL,,PUT,Low,High,Base
3900,0,0,3900,1460,504,0,0,504
2999,0,0,2999,1470,685,0,0,685
2268,0,0,2268,1480,927,0,0,927
1614,0,0,1614,1490,1254,0,0,1254
1099,0,0,1099,1500,1739,0,0,1739
696,0,0,696,1510,2344,0,0,2344
420,0,0,420,1520,3082,0,0,3082
252,0,0,252,1530,3879,0,0,3879
148,0,0,148,1540,4478,0,0,4478
88,0,0,88,1550,5428,0,0,5428
Time,Price,%,SD
13/03 09:31,"1,500.92",0.48,10.54
Base,High,Low,CALL,,PUT,Low,High,Base
3900,0,0,3900,1460,504,0,0,504
2999,0,0,2999,1470,685,0,0,685
2268,0,0,2268,1480,927,0,0,927
1614,0,0,1614,1490,1254,0,0,1254
1099,0,0,1099,1500,1739,0,0,1739
696,0,0,696,1510,2344,0,0,2344
420,0,0,420,1520,3082,0,0,3082
252,0,0,252,1530,3879,0,0,3879
148,0,0,148,1540,4478,0,0,4478
88,0,0,88,1550,5428,0,0,5428
Time,Price,%,SD
13/03 09:33,"1,500.92",0.48,10.54
Base,High,Low,CALL,,PUT,Low,High,Base
3900,0,0,3900,1460,504,0,0,504
2999,0,0,2999,1470,685,0,0,685
2268,0,0,2370,1480,850,0,0,927
1614,0,0,1614,1490,1254,0,0,1254
1099,0,0,1099,1500,1739,0,0,1739
696,0,0,760,1510,2350,0,0,2344
420,0,0,420,1520,3082,0,0,3082
252,0,0,252,1530,3879,0,0,3879
148,0,0,148,1540,4478,0,0,4478
88,0,0,88,1550,5428,0,0,5428
Time,Price,%,SD
13/03 09:35,"1,501.16",0.49,10.54
Base,High,Low,CALL,,PUT,Low,High,Base
3900,0,0,3900,1460,504,0,0,504
2999,0,0,2999,1470,685,0,0,685
2268,2370,2370,2370,1480,850,850,890,927
1614,0,0,1614,1490,1254,0,0,1254
1099,0,0,1099,1500,1739,0,0,1739
696,760,760,760,1510,2350,2280,2350,2344
420,0,0,420,1520,3082,0,0,3082
252,0,0,252,1530,3879,0,0,3879
148,0,0,148,1540,4478,0,0,4478
88,0,0,88,1550,5428,0,0,5428
Time,Price,%,SD
13/03 09:37,"1,501.16",0.49,10.54
Base,High,Low,CALL,,PUT,Low,High,Base
3900,0,0,3900,1460,420,0,0,504
2999,0,0,2999,1470,580,0,0,685
2268,2370,2370,2410,1480,800,850,890,927
1614,0,0,1730,1490,1110,0,0,1254
1099,0,0,1160,1500,1550,0,0,1739
696,760,760,740,1510,2350,2280,2350,2344
420,0,0,450,1520,3082,0,0,3082
252,0,0,270,1530,3879,0,0,3879
148,0,0,165,1540,4478,0,0,4478
88,0,0,88,1550,5428,0,0,5428
Time,Price,%,SD
13/03 09:39,"1,501.16",0.49,10.54
Base,High,Low,CALL,,PUT,Low,High,Base
3900,0,0,3900,1460,420,420,440,504
2999,0,0,2999,1470,580,580,600,685
2268,2410,2350,2410,1480,800,800,890,927
1614,1730,1670,1730,1490,1110,1110,1180,1254
1099,1200,1130,1160,1500,1550,1550,1620,1739
696,780,720,740,1510,2350,2280,2350,2344
420,480,440,450,1520,3082,0,0,3082
252,300,260,270,1530,3879,0,0,3879
148,165,165,165,1540,4478,0,0,4478
88,0,0,88,1550,5428,0,0,5428
Time,Price,%,SD
13/03 09:41,"1,501.42",0.51,10.54
Base,High,Low,CALL,,PUT,Low,High,Base
3900,0,0,3900,1460,420,420,440,504
2999,0,0,2999,1470,580,580,600,685
2268,2410,2350,2410,1480,800,800,890,927
1614,1730,1670,1730,1490,1110,1110,1180,1254
1099,1200,1130,1160,1500,1550,1550,1620,1739
696,780,720,740,1510,2350,2170,2350,2344
420,480,440,450,1520,3082,2890,2930,3082
252,300,260,270,1530,3879,3700,3700,3879
148,165,160,165,1540,4478,0,0,4478
88,90,90,88,1550,5428,0,0,5428
Time,Price,%,SD
13/03 09:43,"1,495.39",0.11,10.54
Base,High,Low,CALL,,PUT,Low,High,Base
4891,0,0,4891,1450,320,320,330,371
3900,0,0,3900,1460,420,420,440,504
2999,3220,3110,2999,1470,580,580,610,685
2268,2410,2350,2410,1480,800,800,890,927
1614,1730,1670,1730,1490,1110,1100,1180,1254
1099,1200,1120,1160,1500,1550,1540,1620,1739
696,780,710,740,1510,2350,2170,2350,2344
420,480,440,450,1520,3082,2890,2930,3082
252,300,260,270,1530,3879,3700,3700,3879
148,165,160,165,1540,4478,0,0,4478
Time,Price,%,SD
13/03 09:45,"1,495.39",0.11,10.54
Base,High,Low,CALL,,PUT,Low,High,Base
4891,0,0,4800,1450,330,320,330,371
3900,0,0,3980,1460,450,420,440,504
2999,3220,3110,3130,1470,610,580,610,685
2268,2410,2350,2370,1480,840,800,890,927
1614,1730,1670,1700,1490,1170,1100,1180,1254
1099,1200,1120,1140,1500,1610,1540,1620,1739
696,780,710,720,1510,2270,2170,2350,2344
420,480,440,440,1520,2910,2890,2930,3082
252,300,260,260,1530,3780,3700,3700,3879
148,165,160,150,1540,4478,0,0,4478
Time,Price,%,SD
13/03 09:47,"1,495.39",0.11,10.54
Base,High,Low,CALL,,PUT,Low,High,Base
4891,4860,4790,4800,1450,330,320,340,371
3900,3980,3910,3980,1460,450,420,470,504
2999,3220,3060,3130,1470,610,580,640,685
2268,2410,2300,2370,1480,840,800,890,927
1614,1730,1630,1700,1490,1170,1100,1220,1254
1099,1200,1090,1140,1500,1610,1540,1670,1739
696,780,700,720,1510,2270,2170,2350,2344
420,480,420,440,1520,2910,2880,2990,3082
252,300,250,260,1530,3780,3700,3810,3879
148,165,145,150,1540,4478,0,0,4478
Time,Price,%,SD
