Time,Price,%,SD
18/03 09:27,"1,509.02",0.27,10.55
Base,High,Low,CALL,,PUT,Low,High,Base
4527,0,0,4527,1460,209,0,0,209
3613,0,0,3613,1470,296,0,0,296
3020,0,0,3020,1480,430,0,0,430
2252,0,0,2252,1490,649,0,0,649
1581,0,0,1581,1500,970,0,0,970
1058,0,0,1058,1510,1450,0,0,1450
679,0,0,679,1520,2081,0,0,2081
414,0,0,414,1530,2823,0,0,2823
250,0,0,250,1540,3702,0,0,3702
145,0,0,145,1550,4871,0,0,4871
Time,Price,%,SD
18/03 09:29,"1,509.02",0.27,10.55
Base,High,Low,CALL,,PUT,Low,High,Base
4527,0,0,4527,1460,209,0,0,209
3613,0,0,3613,1470,296,0,0,296
3020,0,0,3020,1480,430,0,0,430
2252,0,0,2252,1490,649,0,0,649
1581,0,0,1581,1500,970,0,0,970
1058,0,0,1058,1510,1450,0,0,1450
679,0,0,679,1520,2081,0,0,2081
414,0,0,414,1530,2823,0,0,2823
250,0,0,250,1540,3702,0,0,3702
145,0,0,145,1550,4871,0,0,4871
Time,Price,%,SD
18/03 09:30,"1,509.67",0.31,10.55
Base,High,Low,CALL,,PUT,Low,High,Base
4527,0,0,4527,1460,209,0,0,209
3613,0,0,3613,1470,296,0,0,296
3020,0,0,3020,1480,430,0,0,430
2252,0,0,2252,1490,649,0,0,649
1581,0,0,1581,1500,970,0,0,970
1058,0,0,1058,1510,1450,0,0,1450
679,690,690,679,1520,2081,0,0,2081
414,0,0,414,1530,2823,0,0,2823
250,0,0,250,1540,3702,0,0,3702
145,0,0,145,1550,4871,0,0,4871
Time,Price,%,SD
18/03 09:32,"1,509.67",0.31,10.55
Base,High,Low,CALL,,PUT,Low,High,Base
4527,0,0,4527,1460,209,0,0,209
3613,0,0,3613,1470,296,0,0,296
3020,0,0,3020,1480,430,0,0,430
2252,0,0,2252,1490,649,0,0,649
1581,0,0,1581,1500,970,0,0,970
1058,0,0,1100,1510,1450,0,0,1450
679,690,690,690,1520,2081,0,0,2081
414,0,0,414,1530,2823,0,0,2823
250,0,0,250,1540,3702,0,0,3702
145,0,0,145,1550,4871,0,0,4871
Time,Price,%,SD
18/03 09:35,"1,508.51",0.24,10.55
Base,High,Low,CALL,,PUT,Low,High,Base
4527,0,0,4527,1460,209,0,0,209
3613,0,0,3613,1470,296,0,0,296
3020,0,0,3020,1480,430,0,0,430
2252,0,0,2252,1490,649,0,0,649
1581,0,0,1581,1500,970,0,0,970
1058,1100,1070,1100,1510,1450,0,0,1450
679,690,690,690,1520,2081,0,0,2081
414,0,0,414,1530,2823,0,0,2823
250,0,0,250,1540,3702,0,0,3702
145,0,0,145,1550,4871,0,0,4871
Time,Price,%,SD
18/03 09:37,"1,508.51",0.24,10.55
Base,High,Low,CALL,,PUT,Low,High,Base
4527,0,0,4527,1460,209,0,0,209
3613,0,0,3613,1470,296,0,0,296
3020,0,0,3020,1480,430,0,0,430
2252,0,0,2252,1490,649,0,0,649
1581,0,0,1581,1500,970,0,0,970
1058,1100,1070,1100,1510,1450,1340,1380,1450
679,690,580,690,1520,2081,2000,2040,2081
414,0,0,414,1530,2823,2800,2800,2823
250,220,200,250,1540,3702,0,0,3702
145,115,115,145,1550,4871,0,0,4871
Time,Price,%,SD
18/03 09:41,"1,502.96",-0.13,10.55
Base,High,Low,CALL,,PUT,Low,High,Base
4527,4700,4700,4527,1460,165,160,180,209
3613,0,0,3613,1470,250,240,250,296
3020,2910,2700,2700,1480,380,350,380,430
2252,2180,2120,2180,1490,590,560,600,649
1581,1600,1460,1470,1500,920,880,940,970
1058,1100,940,950,1510,1380,1340,1410,1450
679,690,580,580,1520,2030,1990,2050,2081
414,370,350,350,1530,2800,2760,2800,2823
250,220,200,200,1540,3702,3650,3670,3702
145,115,115,115,1550,4871,0,0,4871
Time,Price,%,SD
18/03 09:43,"1,505.24",0.02,10.55
Base,High,Low,CALL,,PUT,Low,High,Base
4527,4700,4700,4527,1460,165,160,180,209
3613,0,0,3613,1470,250,240,250,296
3020,2910,2700,2700,1480,380,350,380,430
2252,2180,2120,2180,1490,590,560,600,649
1581,1600,1460,1470,1500,920,880,940,970
1058,1100,940,950,1510,1380,1340,1410,1450
679,690,580,580,1520,2030,1990,2050,2081
414,370,350,350,1530,2800,2760,2800,2823
250,220,200,200,1540,3702,3650,3670,3702
145,115,115,115,1550,4871,0,0,4871
Time,Price,%,SD
18/03 09:47,"1,505.24",0.02,10.55
Base,High,Low,CALL,,PUT,Low,High,Base
4527,4700,4640,4640,1460,160,150,180,209
3613,0,0,3613,1470,250,240,250,296
3020,2960,2700,2840,1480,370,350,380,430
2252,2180,2040,2060,1490,590,560,600,649
1581,1600,1380,1410,1500,940,880,960,970
1058,1100,880,900,1510,1430,1340,1450,1450
679,690,530,540,1520,2070,1990,2110,2081
414,370,310,330,1530,2840,2760,2840,2823
250,220,175,180,1540,3710,3620,3750,3702
145,115,98,98,1550,4871,0,0,4871
Time,Price,%,SD
18/03 09:49,"1,505.24",0.02,10.55
Base,High,Low,CALL,,PUT,Low,High,Base
4527,4700,4640,4640,1460,160,150,180,209
3613,0,0,3613,1470,250,240,250,296
3020,2960,2700,2840,1480,370,350,380,430
2252,2180,2040,2060,1490,590,560,600,649
1581,1600,1380,1410,1500,940,880,960,970
1058,1100,880,900,1510,1430,1340,1450,1450
679,690,530,540,1520,2070,1990,2110,2081
414,370,310,330,1530,2840,2760,2840,2823
250,220,175,180,1540,3710,3620,3750,3702
145,115,98,98,1550,4871,0,0,4871
Time,Price,%,SD
18/03 09:51,"1,505.24",0.02,10.55
Base,High,Low,CALL,,PUT,Low,High,Base
