Time,Price,%,SD
04/04 09:24,"1,466.03",2.96,11.76
Base,High,Low,CALL,,PUT,Low,High,Base
2283,0,0,2283,1420,1967,0,0,1967
1730,0,0,1730,1430,2417,0,0,2417
1248,0,0,1248,1440,2938,0,0,2938
853,0,0,853,1450,3533,0,0,3533
549,0,0,549,1460,4111,0,0,4111
330,0,0,330,1470,5048,0,0,5048
180,0,0,180,1480,6213,0,0,6213
100,0,0,100,1490,7102,0,0,7102
51,0,0,51,1500,8151,0,0,8151
25,0,0,25,1510,9083,0,0,9083
Time,Price,%,SD
04/04 09:27,"1,466.03",2.96,11.76
Base,High,Low,CALL,,PUT,Low,High,Base
2283,0,0,2283,1420,1967,0,0,1967
1730,0,0,1730,1430,2417,0,0,2417
1248,0,0,1248,1440,2938,0,0,2938
853,0,0,853,1450,3533,0,0,3533
549,0,0,549,1460,4111,0,0,4111
330,0,0,330,1470,5048,0,0,5048
180,0,0,180,1480,6213,0,0,6213
100,0,0,100,1490,7102,0,0,7102
51,0,0,51,1500,8151,0,0,8151
25,0,0,25,1510,9083,0,0,9083
Time,Price,%,SD
04/04 09:33,"1,444.37",1.44,11.76
Base,High,Low,CALL,,PUT,Low,High,Base
3628,0,0,3628,1400,1120,1120,1220,1306
2916,0,0,2916,1410,1490,1490,1490,1615
2283,2390,2390,2390,1420,1820,1820,1820,1967
1730,0,0,1730,1430,2417,0,0,2417
1248,1400,1400,1410,1440,2500,0,0,2938
853,1090,1000,1000,1450,3533,0,0,3533
549,630,630,630,1460,4111,0,0,4111
330,440,440,440,1470,5048,0,0,5048
180,340,290,340,1480,6213,0,0,6213
100,0,0,100,1490,7102,0,0,7102
Time,Price,%,SD
04/04 09:35,"1,429.82",0.42,11.76
Base,High,Low,CALL,,PUT,Low,High,Base
5082,0,0,5082,1380,865,0,0,865
4396,0,0,4396,1390,1058,0,0,1058
3628,0,0,3628,1400,1120,1120,1220,1306
2916,0,0,2916,1410,1490,1490,1490,1615
2283,2390,2390,2390,1420,1820,1820,1820,1967
1730,0,0,1730,1430,2417,0,0,2417
1248,1400,1400,1410,1440,2500,0,0,2938
853,1090,1000,1000,1450,3533,0,0,3533
549,630,630,630,1460,4111,0,0,4111
330,440,440,440,1470,5048,0,0,5048
Time,Price,%,SD
04/04 09:38,"1,429.82",0.42,11.76
Base,High,Low,CALL,,PUT,Low,High,Base
5082,0,0,5082,1380,850,770,850,865
4396,0,0,4396,1390,1020,1000,1020,1058
3628,3690,3690,3690,1400,1300,1120,1300,1306
2916,3120,3020,3020,1410,1550,1400,1550,1615
2283,2390,2390,2390,1420,1970,1800,1970,1967
1730,1850,1680,1680,1430,2410,2200,2410,2417
1248,1410,1200,1200,1440,2890,2500,2890,2938
853,1090,820,830,1450,3533,0,0,3533
549,630,520,520,1460,3990,3980,3990,4111
330,440,300,300,1470,5048,0,0,5048
Time,Price,%,SD
04/04 09:40,"1,423.55",-0.02,11.76
Base,High,Low,CALL,,PUT,Low,High,Base
5082,0,0,5082,1380,850,770,850,865
4396,0,0,4396,1390,1020,1000,1020,1058
3628,3690,3690,3690,1400,1300,1120,1300,1306
2916,3120,3020,3020,1410,1550,1400,1550,1615
2283,2390,2390,2390,1420,1970,1800,1970,1967
1730,1850,1680,1680,1430,2410,2200,2410,2417
1248,1410,1200,1200,1440,2890,2500,2890,2938
853,1090,820,830,1450,3533,0,0,3533
549,630,520,520,1460,3990,3980,3990,4111
330,440,300,300,1470,5048,0,0,5048
Time,Price,%,SD
04/04 09:42,"1,418.03",-0.41,11.76
Base,High,Low,CALL,,PUT,Low,High,Base
5624,0,0,5630,1370,740,600,670,685
5082,0,0,4880,1380,930,770,850,865
4396,0,0,3930,1390,1160,1000,1020,1058
3628,3690,3690,3200,1400,1420,1120,1300,1306
2916,3120,3020,2560,1410,1760,1400,1550,1615
2283,2390,2390,1980,1420,2170,1800,1970,1967
1730,1850,1680,1430,1430,2640,2200,2410,2417
1248,1410,1200,1010,1440,3220,2500,2890,2938
853,1090,820,670,1450,3880,0,0,3533
549,630,520,420,1460,4590,3980,3990,4111
Time,Price,%,SD
04/04 09:44,"1,418.03",-0.41,11.76
Base,High,Low,CALL,,PUT,Low,High,Base
5624,0,0,5630,1370,740,600,750,685
5082,5100,4880,4880,1380,930,770,940,865
4396,4330,3930,3930,1390,1160,1000,1160,1058
3628,3690,3190,3200,1400,1420,1120,1420,1306
2916,3120,2560,2560,1410,1760,1400,1770,1615
2283,2390,1980,1980,1420,2170,1800,2170,1967
1730,1850,1430,1430,1430,2640,2200,2650,2417
1248,1410,1000,1010,1440,3220,2500,3230,2938
853,1090,670,670,1450,3880,3660,3880,3533
549,630,420,420,1460,4590,3980,4590,4111
Time,Price,%,SD
04/04 09:47,"1,418.03",-0.41,11.76
Base,High,Low,CALL,,PUT,Low,High,Base
5624,5800,5630,5630,1370,740,600,750,685
5082,5100,4880,4880,1380,930,770,940,865
4396,4330,3930,3930,1390,1160,1000,1160,1058
3628,3690,3190,3200,1400,1420,1120,1420,1306
2916,3120,2560,2560,1410,1760,1400,1770,1615
2283,2390,1980,1980,1420,2170,1800,2170,1967
1730,1850,1430,1430,1430,2640,2200,2650,2417
1248,1410,1000,1010,1440,3220,2500,3230,2938
853,1090,670,670,1450,3880,3660,3880,3533
549,630,420,420,1460,4590,3980,4590,4111
Time,Price,%,SD
04/04 09:53,"1,418.03",-0.41,11.76
Base,High,Low,CALL,,PUT,Low,High,Base
5624,5800,5630,5630,1370,740,600,750,685
5082,5100,4880,4880,1380,930,770,940,865
4396,4330,3930,3930,1390,1160,1000,1160,1058
3628,3690,3190,3200,1400,1420,1120,1420,1306
2916,3120,2560,2560,1410,1760,1400,1770,1615
2283,2390,1980,1980,1420,2170,1800,2170,1967
1730,1850,1430,1430,1430,2640,2200,2650,2417
1248,1410,1000,1010,1440,3220,2500,3230,2938
853,1090,670,670,1450,3880,3660,3880,3533
549,630,420,420,1460,4590,3980,4590,4111
Time,Price,%,SD
04/04 09:55,"1,418.03",-0.41,11.76
Base,High,Low,CALL,,PUT,Low,High,Base
5624,5800,5630,5630,1370,740,600,750,685
5082,5100,4880,4880,1380,930,770,940,865
4396,4330,3930,3930,1390,1160,1000,1160,1058
3628,3690,3190,3200,1400,1420,1120,1420,1306
