Time,Price,%,SD
29/03 09:24,"1,445.08",0.74,12.02
Base,High,Low,CALL,,PUT,Low,High,Base
4607,0,0,4607,1400,1137,0,0,1137
3986,0,0,3986,1410,1386,0,0,1386
3127,0,0,3127,1420,1693,0,0,1693
2564,0,0,2564,1430,2052,0,0,2052
2008,0,0,2008,1440,2510,0,0,2510
1520,0,0,1520,1450,3057,0,0,3057
1114,0,0,1114,1460,3521,0,0,3521
762,0,0,762,1470,4235,0,0,4235
510,0,0,510,1480,5056,0,0,5056
332,0,0,332,1490,5772,0,0,5772
Time,Price,%,SD
29/03 09:27,"1,445.08",0.74,12.02
Base,High,Low,CALL,,PUT,Low,High,Base
4607,0,0,4607,1400,1137,0,0,1137
3986,0,0,3986,1410,1386,0,0,1386
3127,0,0,3127,1420,1693,0,0,1693
2564,0,0,2564,1430,2052,0,0,2052
2008,0,0,2008,1440,2510,0,0,2510
1520,0,0,1520,1450,3057,0,0,3057
1114,0,0,1114,1460,3521,0,0,3521
762,0,0,762,1470,4235,0,0,4235
510,0,0,510,1480,5056,0,0,5056
332,0,0,332,1490,5772,0,0,5772
Time,Price,%,SD
29/03 09:29,"1,445.08",0.74,12.02
Base,High,Low,CALL,,PUT,Low,High,Base
4607,0,0,4607,1400,1137,0,0,1137
3986,0,0,3986,1410,1386,0,0,1386
3127,0,0,3127,1420,1693,0,0,1693
2564,0,0,2564,1430,2052,0,0,2052
2008,0,0,2008,1440,2510,0,0,2510
1520,0,0,1520,1450,3057,0,0,3057
1114,0,0,1114,1460,3521,0,0,3521
762,0,0,762,1470,4235,0,0,4235
510,0,0,510,1480,5056,0,0,5056
332,0,0,332,1490,5772,0,0,5772
Time,Price,%,SD
29/03 09:31,"1,360.28",-5.17,12.02
Base,High,Low,CALL,,PUT,Low,High,Base
10700,0,0,10700,1330,289,0,0,289
0,0,0,0,1340,354,0,0,354
0,0,0,0,1350,397,0,0,397
8135,0,0,8135,1360,510,0,0,510
6700,0,0,6700,1370,618,0,0,618
6251,0,0,6251,1380,753,0,0,753
5412,0,0,5412,1390,928,0,0,928
4607,0,0,4607,1400,1137,0,0,1137
3986,0,0,3986,1410,1386,0,0,1386
3127,0,0,3127,1420,1693,0,0,1693
Time,Price,%,SD
29/03 09:34,"1,444.60",0.71,12.02
Base,High,Low,CALL,,PUT,Low,High,Base
4607,0,0,4607,1400,1137,0,0,1137
3986,0,0,3986,1410,1386,0,0,1386
3127,0,0,3127,1420,1693,0,0,1693
2564,0,0,2564,1430,2052,0,0,2052
2008,0,0,2008,1440,2510,0,0,2510
1520,0,0,1520,1450,3057,0,0,3057
1114,0,0,1114,1460,3521,0,0,3521
762,0,0,762,1470,4235,0,0,4235
510,0,0,510,1480,5056,0,0,5056
332,0,0,332,1490,5772,0,0,5772
