Time,Price,%,SD
02/04 09:27,"1,446.49",0.44,11.81
Base,High,Low,CALL,,PUT,Low,High,Base
4838,0,0,4838,1400,802,0,0,802
4027,0,0,4027,1410,1018,0,0,1018
3279,0,0,3279,1420,1283,0,0,1283
2584,0,0,2584,1430,1590,0,0,1590
1972,0,0,1972,1440,2002,0,0,2002
1445,0,0,1445,1450,2449,0,0,2449
1000,0,0,1000,1460,3001,0,0,3001
645,0,0,645,1470,3629,0,0,3629
385,0,0,385,1480,4390,0,0,4390
208,0,0,208,1490,5188,0,0,5188
Time,Price,%,SD
02/04 09:29,"1,446.49",0.44,11.81
Base,High,Low,CALL,,PUT,Low,High,Base
4838,0,0,4838,1400,802,0,0,802
4027,0,0,4027,1410,1018,0,0,1018
3279,0,0,3279,1420,1283,0,0,1283
2584,0,0,2584,1430,1590,0,0,1590
1972,0,0,1972,1440,2002,0,0,2002
1445,0,0,1445,1450,2449,0,0,2449
1000,0,0,1000,1460,3001,0,0,3001
645,0,0,645,1470,3629,0,0,3629
385,0,0,385,1480,4390,0,0,4390
208,0,0,208,1490,5188,0,0,5188
Time,Price,%,SD
02/04 09:31,"1,452.15",0.84,11.81
Base,High,Low,CALL,,PUT,Low,High,Base
4027,0,0,4027,1410,1018,0,0,1018
3279,0,0,3279,1420,1283,0,0,1283
2584,0,0,2584,1430,1590,0,0,1590
1972,0,0,1972,1440,2002,0,0,2002
1445,0,0,1445,1450,2449,0,0,2449
1000,0,0,1000,1460,3001,0,0,3001
645,0,0,645,1470,3629,0,0,3629
385,0,0,385,1480,4390,0,0,4390
208,0,0,208,1490,5188,0,0,5188
109,0,0,109,1500,5904,0,0,5904
Time,Price,%,SD
02/04 09:32,"1,452.15",0.84,11.81
Base,High,Low,CALL,,PUT,Low,High,Base
4027,0,0,4027,1410,1018,0,0,1018
3279,0,0,3279,1420,1283,0,0,1283
2584,0,0,2584,1430,1590,0,0,1590
1972,0,0,1972,1440,2002,0,0,2002
1445,0,0,1445,1450,2449,0,0,2449
1000,0,0,1000,1460,3001,0,0,3001
645,0,0,645,1470,3629,0,0,3629
385,0,0,385,1480,4390,0,0,4390
208,0,0,208,1490,5188,0,0,5188
109,0,0,109,1500,5904,0,0,5904
Time,Price,%,SD
02/04 09:34,"1,445.89",0.40,11.81
Base,High,Low,CALL,,PUT,Low,High,Base
4838,0,0,4838,1400,802,0,0,802
4027,0,0,4027,1410,1018,0,0,1018
3279,0,0,3279,1420,1283,0,0,1283
2584,0,0,2584,1430,1590,0,0,1590
1972,0,0,1972,1440,2002,0,0,2002
1445,0,0,1445,1450,2449,0,0,2449
1000,0,0,1000,1460,3001,0,0,3001
645,0,0,645,1470,3629,0,0,3629
385,0,0,385,1480,4390,4620,4650,4390
208,220,170,208,1490,5188,0,0,5188
Time,Price,%,SD
02/04 09:36,"1,445.89",0.40,11.81
Base,High,Low,CALL,,PUT,Low,High,Base
4838,0,0,4838,1400,880,0,0,802
4027,0,0,4027,1410,1110,0,0,1018
3279,0,0,3279,1420,1390,0,0,1283
2584,0,0,2320,1430,1740,1660,1800,1590
1972,1810,1730,1740,1440,2150,0,0,2002
1445,0,0,1250,1450,2660,0,0,2449
1000,0,0,840,1460,3001,0,0,3001
645,0,0,540,1470,3629,0,0,3629
385,0,0,310,1480,4620,4620,4650,4390
208,220,170,170,1490,5188,0,0,5188
Time,Price,%,SD
02/04 09:40,"1,443.18",0.21,11.81
Base,High,Low,CALL,,PUT,Low,High,Base
4838,0,0,4838,1400,880,870,900,802
4027,0,0,4027,1410,1110,1070,1130,1018
3279,0,0,3279,1420,1390,1350,1410,1283
2584,2340,2320,2320,1430,1740,1660,1800,1590
1972,1810,1730,1740,1440,2150,2000,2180,2002
1445,1380,1240,1250,1450,2660,2570,2700,2449
1000,850,820,840,1460,3001,0,0,3001
645,540,500,540,1470,3629,0,0,3629
385,310,280,310,1480,4620,4620,4650,4390
208,220,155,170,1490,5188,0,0,5188
Time,Price,%,SD
02/04 09:45,"1,435.25",-0.34,11.81
Base,High,Low,CALL,,PUT,Low,High,Base
5774,0,0,5774,1390,690,670,720,622
4838,4300,4280,4838,1400,880,860,930,802
4027,3670,3520,3600,1410,1120,1070,1170,1018
3279,2960,2820,2920,1420,1400,1350,1470,1283
