Time,Price,%,SD
01/04 09:25,"1,442.76",0.46,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
4656,0,0,4656,1400,1028,0,0,1028
3800,0,0,3800,1410,1296,0,0,1296
3122,0,0,3122,1420,1580,0,0,1580
2582,0,0,2582,1430,1937,0,0,1937
1991,0,0,1991,1440,2340,0,0,2340
1453,0,0,1453,1450,2827,0,0,2827
1028,0,0,1028,1460,3391,0,0,3391
681,0,0,681,1470,4057,0,0,4057
410,0,0,410,1480,4836,0,0,4836
227,0,0,227,1490,5725,0,0,5725
Time,Price,%,SD
01/04 09:26,"1,442.76",0.46,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
4656,0,0,4656,1400,1028,0,0,1028
3800,0,0,3800,1410,1296,0,0,1296
3122,0,0,3122,1420,1580,0,0,1580
2582,0,0,2582,1430,1937,0,0,1937
1991,0,0,1991,1440,2340,0,0,2340
1453,0,0,1453,1450,2827,0,0,2827
1028,0,0,1028,1460,3391,0,0,3391
681,0,0,681,1470,4057,0,0,4057
410,0,0,410,1480,4836,0,0,4836
227,0,0,227,1490,5725,0,0,5725
Time,Price,%,SD
01/04 09:29,"1,442.76",0.46,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
4656,0,0,4656,1400,1028,0,0,1028
3800,0,0,3800,1410,1296,0,0,1296
3122,0,0,3122,1420,1580,0,0,1580
2582,0,0,2582,1430,1937,0,0,1937
1991,0,0,1991,1440,2340,0,0,2340
1453,0,0,1453,1450,2827,0,0,2827
1028,0,0,1028,1460,3391,0,0,3391
681,0,0,681,1470,4057,0,0,4057
410,0,0,410,1480,4836,0,0,4836
227,0,0,227,1490,5725,0,0,5725
Time,Price,%,SD
01/04 09:31,"1,443.12",0.48,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
4656,0,0,4656,1400,1028,0,0,1028
3800,0,0,3800,1410,1296,0,0,1296
3122,0,0,3122,1420,1580,0,0,1580
2582,0,0,2582,1430,1937,0,0,1937
1991,0,0,1991,1440,2340,0,0,2340
1453,0,0,1453,1450,2827,0,0,2827
1028,0,0,1028,1460,3391,0,0,3391
681,0,0,681,1470,4057,0,0,4057
410,0,0,410,1480,4836,0,0,4836
227,0,0,227,1490,5725,0,0,5725
Time,Price,%,SD
01/04 09:33,"1,443.12",0.48,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
4656,0,0,4656,1400,1028,0,0,1028
3800,0,0,3800,1410,1296,0,0,1296
3122,0,0,3122,1420,1580,0,0,1580
2582,0,0,2582,1430,1937,0,0,1937
1991,0,0,1991,1440,2340,0,0,2340
1453,0,0,1453,1450,2827,0,0,2827
1028,0,0,1028,1460,3391,0,0,3391
681,0,0,681,1470,4057,0,0,4057
410,0,0,410,1480,4836,0,0,4836
227,0,0,227,1490,5725,0,0,5725
Time,Price,%,SD
01/04 09:34,"1,457.48",1.48,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
3800,0,0,3800,1410,1296,0,0,1296
3122,0,0,3122,1420,1580,0,0,1580
2582,0,0,2582,1430,1937,0,0,1937
1991,0,0,1991,1440,2340,0,0,2340
1453,0,0,1453,1450,2827,0,0,2827
1028,0,0,1028,1460,3391,0,0,3391
681,0,0,681,1470,4057,0,0,4057
410,0,0,410,1480,4836,0,0,4836
227,0,0,227,1490,5725,0,0,5725
127,0,0,127,1500,6217,0,0,6217
Time,Price,%,SD
01/04 09:43,"1,444.69",0.59,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
4656,0,0,4656,1400,820,760,920,1028
3800,0,0,3800,1410,1030,960,1100,1296
3122,3600,3500,3600,1420,1280,1190,1310,1580
2582,2920,2490,2900,1430,1580,1480,1730,1937
1991,2280,2090,2260,1440,1920,1900,2140,2340
1453,1710,1510,1680,1450,2360,2270,2540,2827
1028,1280,1060,1190,1460,2890,2800,3080,3391
681,800,720,790,1470,3810,3390,3810,4057
410,550,440,480,1480,4836,4090,4220,4836
227,280,250,270,1490,5725,0,0,5725
Time,Price,%,SD
01/04 09:45,"1,444.69",0.59,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
4656,0,0,4656,1400,760,760,920,1028
3800,0,0,3800,1410,960,960,1100,1296
3122,3600,3500,3590,1420,1190,1190,1310,1580
2582,2920,2490,2870,1430,1480,1480,1730,1937
1991,2280,2090,2230,1440,1840,1840,2140,2340
1453,1710,1510,1660,1450,2280,2270,2540,2827
1028,1280,1060,1170,1460,2810,2800,3080,3391
681,800,720,770,1470,3400,3390,3810,4057
410,550,440,480,1480,4090,4090,4220,4836
227,280,250,260,1490,4880,4880,5040,5725
Time,Price,%,SD
01/04 09:46,"1,444.69",0.59,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
4656,0,0,4656,1400,760,760,920,1028
3800,0,0,3800,1410,960,960,1100,1296
3122,3600,3500,3590,1420,1190,1190,1310,1580
2582,2920,2490,2870,1430,1480,1480,1730,1937
1991,2280,2090,2230,1440,1840,1840,2140,2340
1453,1710,1510,1660,1450,2280,2270,2540,2827
1028,1280,1060,1170,1460,2810,2800,3080,3391
681,800,720,770,1470,3400,3390,3810,4057
410,550,440,480,1480,4090,4090,4220,4836
227,280,250,260,1490,4880,4880,5040,5725
Time,Price,%,SD
01/04 09:52,"1,444.69",0.59,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
4656,0,0,4656,1400,760,760,920,1028
3800,0,0,3800,1410,960,960,1100,1296
3122,3600,3500,3590,1420,1190,1190,1310,1580
2582,2920,2490,2870,1430,1480,1480,1730,1937
1991,2280,2090,2230,1440,1840,1840,2140,2340
1453,1710,1510,1660,1450,2280,2270,2540,2827
1028,1280,1060,1170,1460,2810,2800,3080,3391
681,800,720,770,1470,3400,3390,3810,4057
410,550,440,480,1480,4090,4090,4220,4836
227,280,250,260,1490,4880,4880,5040,5725
Time,Price,%,SD
01/04 09:55,"1,444.69",0.59,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
4656,0,0,4656,1400,760,760,920,1028
3800,0,0,3800,1410,960,960,1100,1296
3122,3600,3500,3590,1420,1190,1190,1310,1580
2582,2920,2490,2870,1430,1480,1480,1730,1937
1991,2280,2090,2230,1440,1840,1840,2140,2340
1453,1710,1510,1660,1450,2280,2270,2540,2827
1028,1280,1060,1170,1460,2810,2800,3080,3391
681,800,720,770,1470,3400,3390,3810,4057
410,550,440,480,1480,4090,4090,4220,4836
227,280,250,260,1490,4880,4880,5040,5725
Time,Price,%,SD
01/04 09:56,"1,444.69",0.59,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
4656,0,0,4656,1400,760,760,920,1028
3800,0,0,3800,1410,960,960,1100,1296
3122,3600,3500,3590,1420,1190,1190,1310,1580
2582,2920,2490,2870,1430,1480,1480,1730,1937
1991,2280,2090,2230,1440,1840,1840,2140,2340
1453,1710,1510,1660,1450,2280,2270,2540,2827
1028,1280,1060,1170,1460,2810,2800,3080,3391
681,800,720,770,1470,3400,3390,3810,4057
410,550,440,480,1480,4090,4090,4220,4836
227,280,250,260,1490,4880,4880,5040,5725
Time,Price,%,SD
01/04 10:01,"1,444.69",0.59,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
4656,0,0,4656,1400,760,760,920,1028
3800,0,0,3800,1410,960,960,1100,1296
3122,3600,3500,3590,1420,1190,1190,1310,1580
2582,2920,2490,2870,1430,1480,1480,1730,1937
1991,2280,2090,2230,1440,1840,1840,2140,2340
1453,1710,1510,1660,1450,2280,2270,2540,2827
1028,1280,1060,1170,1460,2810,2800,3080,3391
681,800,720,770,1470,3400,3390,3810,4057
410,550,440,480,1480,4090,4090,4220,4836
227,280,250,260,1490,4880,4880,5040,5725
Time,Price,%,SD
01/04 10:02,"1,444.69",0.59,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
4656,0,0,4656,1400,760,760,920,1028
3800,0,0,3800,1410,960,960,1100,1296
3122,3600,3500,3590,1420,1190,1190,1310,1580
2582,2920,2490,2870,1430,1480,1480,1730,1937
1991,2280,2090,2230,1440,1840,1840,2140,2340
1453,1710,1510,1660,1450,2280,2270,2540,2827
1028,1280,1060,1170,1460,2810,2800,3080,3391
681,800,720,770,1470,3400,3390,3810,4057
410,550,440,480,1480,4090,4090,4220,4836
227,280,250,260,1490,4880,4880,5040,5725
Time,Price,%,SD
01/04 10:05,"1,443.71",0.52,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
4656,0,0,4656,1400,760,760,920,1028
3800,0,0,3800,1410,960,960,1100,1296
3122,3600,3500,3590,1420,1190,1190,1310,1580
2582,2920,2490,2870,1430,1480,1480,1730,1937
1991,2280,2090,2230,1440,1840,1840,2140,2340
1453,1710,1510,1660,1450,2280,2270,2540,2827
1028,1280,1060,1170,1460,2810,2800,3080,3391
681,800,720,770,1470,3400,3390,3810,4057
410,550,440,480,1480,4090,4090,4220,4836
227,280,250,260,1490,4880,4880,5040,5725
Time,Price,%,SD
01/04 10:06,"1,443.71",0.52,11.87
Base,High,Low,CALL,,PUT,Low,High,Base
4656,0,0,5050,1400,770,760,920,1028
