Time,Price,%,SD
19/03 09:25,"1,497.68",-0.25,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
5304,0,0,5304,1450,105,0,0,105
4270,0,0,4270,1460,155,0,0,155
3331,0,0,3331,1470,249,0,0,249
2475,0,0,2475,1480,386,0,0,386
1745,0,0,1745,1490,630,0,0,630
1135,0,0,1135,1500,1006,0,0,1006
668,0,0,668,1510,1548,0,0,1548
382,0,0,382,1520,2266,0,0,2266
213,0,0,213,1530,3099,0,0,3099
111,0,0,111,1540,3997,0,0,3997
Time,Price,%,SD
19/03 09:27,"1,497.68",-0.25,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
5304,0,0,5304,1450,105,0,0,105
4270,0,0,4270,1460,155,0,0,155
3331,0,0,3331,1470,249,0,0,249
2475,0,0,2475,1480,386,0,0,386
1745,0,0,1745,1490,630,0,0,630
1135,0,0,1135,1500,1006,0,0,1006
668,0,0,668,1510,1548,0,0,1548
382,0,0,382,1520,2266,0,0,2266
213,0,0,213,1530,3099,0,0,3099
111,0,0,111,1540,3997,0,0,3997
Time,Price,%,SD
19/03 09:29,"1,497.68",-0.25,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
5304,0,0,5304,1450,105,0,0,105
4270,0,0,4270,1460,155,0,0,155
3331,0,0,3331,1470,249,0,0,249
2475,0,0,2475,1480,386,0,0,386
1745,0,0,1745,1490,630,0,0,630
1135,0,0,1135,1500,1006,0,0,1006
668,0,0,668,1510,1548,0,0,1548
382,0,0,382,1520,2266,0,0,2266
213,0,0,213,1530,3099,0,0,3099
111,0,0,111,1540,3997,0,0,3997
Time,Price,%,SD
19/03 09:32,"1,498.81",-0.17,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
5304,0,0,5304,1450,105,0,0,105
4270,0,0,4270,1460,155,0,0,155
3331,0,0,3331,1470,249,0,0,249
2475,0,0,2475,1480,386,0,0,386
1745,0,0,1745,1490,630,0,0,630
1135,0,0,1135,1500,1006,0,0,1006
668,0,0,668,1510,1548,0,0,1548
382,0,0,382,1520,2266,0,0,2266
213,0,0,213,1530,3099,0,0,3099
111,0,0,111,1540,3997,0,0,3997
Time,Price,%,SD
19/03 09:35,"1,498.81",-0.17,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
5304,0,0,5304,1450,105,0,0,105
4270,0,0,4270,1460,155,0,0,155
3331,0,0,3331,1470,249,0,0,249
2475,0,0,2475,1480,386,0,0,386
1745,0,0,1745,1490,630,0,0,630
1135,0,0,1135,1500,1006,0,0,1006
668,0,0,668,1510,1548,0,0,1548
