Time,Price,%,SD
07/03 09:25,"1,486.55",0.30,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
4993,0,0,4993,1440,670,0,0,670
4155,0,0,4155,1450,830,0,0,830
3408,0,0,3408,1460,1045,0,0,1045
2686,0,0,2686,1470,1302,0,0,1302
2021,0,0,2021,1480,1648,0,0,1648
1446,0,0,1446,1490,2062,0,0,2062
984,0,0,984,1500,2592,0,0,2592
624,0,0,624,1510,3241,0,0,3241
380,0,0,380,1520,4011,0,0,4011
213,0,0,213,1530,4906,0,0,4906
Time,Price,%,SD
07/03 09:29,"1,486.55",0.30,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
4993,0,0,4993,1440,670,0,0,670
4155,0,0,4155,1450,830,0,0,830
3408,0,0,3408,1460,1045,0,0,1045
2686,0,0,2686,1470,1302,0,0,1302
2021,0,0,2021,1480,1648,0,0,1648
1446,0,0,1446,1490,2062,0,0,2062
984,0,0,984,1500,2592,0,0,2592
624,0,0,624,1510,3241,0,0,3241
380,0,0,380,1520,4011,0,0,4011
213,0,0,213,1530,4906,0,0,4906
Time,Price,%,SD
07/03 09:31,"1,486.09",0.27,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
4993,0,0,4993,1440,670,0,0,670
4155,0,0,4155,1450,830,0,0,830
3408,0,0,3408,1460,1045,0,0,1045
2686,0,0,2686,1470,1302,0,0,1302
2021,0,0,2021,1480,1648,0,0,1648
1446,0,0,1446,1490,2062,0,0,2062
984,0,0,984,1500,2592,0,0,2592
624,0,0,624,1510,3241,0,0,3241
380,0,0,380,1520,4011,0,0,4011
213,0,0,213,1530,4906,0,0,4906
Time,Price,%,SD
07/03 09:33,"1,486.09",0.27,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
4993,0,0,4993,1440,670,0,0,670
4155,0,0,4155,1450,830,0,0,830
3408,0,0,3408,1460,1045,0,0,1045
2686,0,0,2686,1470,1302,0,0,1302
2021,0,0,2021,1480,1648,0,0,1648
1446,0,0,1446,1490,2062,0,0,2062
984,0,0,984,1500,2592,0,0,2592
624,0,0,624,1510,3241,0,0,3241
380,0,0,380,1520,4011,0,0,4011
213,0,0,213,1530,4906,0,0,4906
Time,Price,%,SD
07/03 09:37,"1,457.81",-1.64,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
7650,0,0,7650,1410,430,0,0,327
6660,0,0,6660,1420,530,0,0,425
5872,0,0,5872,1430,660,0,0,530
4993,0,0,4993,1440,820,0,0,670
4155,0,0,4155,1450,1030,0,0,830
3408,0,0,2950,1460,1270,0,0,1045
2686,0,0,2270,1470,1600,0,0,1302
2021,0,0,1670,1480,2000,0,0,1648
1446,0,0,1160,1490,2460,0,0,2062
984,0,0,740,1500,3080,0,0,2592
Time,Price,%,SD
07/03 09:39,"1,457.81",-1.64,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
7650,0,0,7650,1410,430,0,0,327
6660,0,0,6660,1420,530,450,530,425
5872,0,0,5872,1430,660,0,0,530
4993,0,0,4993,1440,820,0,0,670
4155,0,0,4155,1450,1030,0,0,830
3408,0,0,2950,1460,1270,0,0,1045
2686,0,0,2270,1470,1600,0,0,1302
2021,1720,1660,1670,1480,2000,0,0,1648
1446,0,0,1160,1490,2460,0,0,2062
984,0,0,740,1500,3080,0,0,2592
Time,Price,%,SD
07/03 09:43,"1,476.13",-0.40,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
5872,0,0,5872,1430,660,570,660,530
4993,0,0,4993,1440,820,780,860,670
4155,3740,3670,4155,1450,1030,960,1070,830
3408,3000,2900,2950,1460,1270,1220,1340,1045
2686,2300,2240,2270,1470,1600,1520,1660,1302
2021,1720,1630,1670,1480,2000,1900,2060,1648
1446,1250,1090,1160,1490,2460,2300,2540,2062
984,800,720,740,1500,3080,2820,3140,2592
624,490,450,470,1510,3710,3390,3860,3241
380,290,260,270,1520,4550,4000,4650,4011
Time,Price,%,SD
07/03 09:45,"1,476.13",-0.40,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
5872,0,0,5872,1430,640,570,700,530
4993,0,0,4500,1440,810,790,860,670
4155,3680,3670,3720,1450,1010,960,1070,830
3408,2980,2900,2970,1460,1260,1220,1340,1045
2686,2290,2240,2300,1470,1590,1520,1660,1302
2021,1720,1630,1680,1480,1990,1900,2060,1648
1446,1250,1090,1180,1490,2450,2300,2540,2062
984,800,720,770,1500,3060,2820,3140,2592
624,490,450,480,1510,3750,3390,3860,3241
380,290,260,280,1520,4580,4000,4650,4011
Time,Price,%,SD
07/03 09:49,"1,476.13",-0.40,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
5872,0,0,5872,1430,640,570,700,530
4993,4520,4490,4500,1440,810,780,860,670
4155,3740,3670,3720,1450,1010,960,1070,830
3408,3000,2900,2970,1460,1260,1220,1340,1045
2686,2300,2240,2300,1470,1590,1520,1660,1302
2021,1720,1630,1680,1480,1990,1900,2060,1648
1446,1250,1090,1180,1490,2450,2300,2540,2062
984,800,720,770,1500,3060,2820,3140,2592
624,490,450,480,1510,3750,3390,3860,3241
380,290,260,280,1520,4580,4000,4650,4011
Time,Price,%,SD
07/03 09:51,"1,476.13",-0.40,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
5872,0,0,5872,1430,640,570,700,530
4993,4520,4490,4500,1440,810,780,860,670
4155,3740,3670,3720,1450,1010,960,1070,830
3408,3000,2900,2970,1460,1260,1220,1340,1045
2686,2300,2240,2300,1470,1590,1520,1660,1302
2021,1720,1630,1680,1480,1990,1900,2060,1648
1446,1250,1090,1180,1490,2450,2300,2540,2062
984,800,720,770,1500,3060,2820,3140,2592
624,490,450,480,1510,3750,3390,3860,3241
380,290,260,280,1520,4580,4000,4650,4011
Time,Price,%,SD
07/03 09:53,"1,476.13",-0.40,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
5872,0,0,5872,1430,640,570,700,530
4993,4520,4490,4500,1440,810,780,860,670
4155,3740,3670,3720,1450,1010,960,1070,830
3408,3000,2900,2970,1460,1260,1220,1340,1045
2686,2300,2240,2300,1470,1590,1520,1660,1302
2021,1720,1630,1680,1480,1990,1900,2060,1648
1446,1250,1090,1180,1490,2450,2300,2540,2062
984,800,720,770,1500,3060,2820,3140,2592
624,490,450,480,1510,3750,3390,3860,3241
380,290,260,280,1520,4580,4000,4650,4011
Time,Price,%,SD
07/03 09:55,"1,476.13",-0.40,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
5872,0,0,5872,1430,640,570,700,530
4993,4520,4490,4500,1440,810,780,860,670
4155,3740,3670,3720,1450,1010,960,1070,830
3408,3000,2900,2970,1460,1260,1220,1340,1045
2686,2300,2240,2300,1470,1590,1520,1660,1302
2021,1720,1630,1680,1480,1990,1900,2060,1648
1446,1250,1090,1180,1490,2450,2300,2540,2062
984,800,720,770,1500,3060,2820,3140,2592
624,490,450,480,1510,3750,3390,3860,3241
380,290,260,280,1520,4580,4000,4650,4011
Time,Price,%,SD
07/03 09:57,"1,476.13",-0.40,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
5872,0,0,5872,1430,640,570,700,530
4993,4520,4490,4500,1440,810,780,860,670
4155,3740,3670,3720,1450,1010,960,1070,830
3408,3000,2900,2970,1460,1260,1220,1340,1045
2686,2300,2240,2300,1470,1590,1520,1660,1302
2021,1720,1630,1680,1480,1990,1900,2060,1648
1446,1250,1090,1180,1490,2450,2300,2540,2062
984,800,720,770,1500,3060,2820,3140,2592
624,490,450,480,1510,3750,3390,3860,3241
380,290,260,280,1520,4580,4000,4650,4011
Time,Price,%,SD
07/03 10:01,"1,476.13",-0.40,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
5872,0,0,5872,1430,640,570,700,530
4993,4520,4490,4500,1440,810,780,860,670
4155,3740,3670,3720,1450,1010,960,1070,830
3408,3000,2900,2970,1460,1260,1220,1340,1045
2686,2300,2240,2300,1470,1590,1520,1660,1302
2021,1720,1630,1680,1480,1990,1900,2060,1648
1446,1250,1090,1180,1490,2450,2300,2540,2062
984,800,720,770,1500,3060,2820,3140,2592
624,490,450,480,1510,3750,3390,3860,3241
380,290,260,280,1520,4580,4000,4650,4011
Time,Price,%,SD
07/03 10:03,"1,476.13",-0.40,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
5872,0,0,5872,1430,640,570,700,530
4993,4520,4490,4500,1440,810,780,860,670
4155,3740,3670,3720,1450,1010,960,1070,830
3408,3000,2900,2970,1460,1260,1220,1340,1045
2686,2300,2240,2300,1470,1590,1520,1660,1302
2021,1720,1630,1680,1480,1990,1900,2060,1648
1446,1250,1090,1180,1490,2450,2300,2540,2062
984,800,720,770,1500,3060,2820,3140,2592
624,490,450,480,1510,3750,3390,3860,3241
380,290,260,280,1520,4580,4000,4650,4011
Time,Price,%,SD
07/03 10:05,"1,476.54",-0.38,10.51
Base,High,Low,CALL,,PUT,Low,High,Base
5872,0,0,5872,1430,640,570,700,530
4993,4520,4490,4500,1440,810,780,860,670
4155,3740,3670,3720,1450,1010,960,1070,830
3408,3000,2900,2970,1460,1260,1220,1340,1045
2686,2300,2240,2300,1470,1590,1520,1660,1302
2021,1720,1630,1680,1480,1990,1900,2060,1648
1446,1250,1090,1180,1490,2450,2300,2540,2062
