Time,Price,%,SD
25/03 09:25,"1,468.11",-0.16,10.13
Base,High,Low,CALL,,PUT,Low,High,Base
5264,0,0,5264,1420,220,0,0,220
4406,0,0,4406,1430,297,0,0,297
3416,0,0,3416,1440,420,0,0,420
2547,0,0,2547,1450,581,0,0,581
1773,0,0,1773,1460,799,0,0,799
1066,0,0,1066,1470,1124,0,0,1124
539,0,0,539,1480,1606,0,0,1606
228,0,0,228,1490,2239,0,0,2239
87,0,0,87,1500,3104,0,0,3104
41,0,0,41,1510,4052,0,0,4052
Time,Price,%,SD
25/03 09:30,"1,465.71",-0.32,10.13
Base,High,Low,CALL,,PUT,Low,High,Base
5264,0,0,5264,1420,220,0,0,220
4406,0,0,4406,1430,297,0,0,297
3416,0,0,3416,1440,420,0,0,420
2547,0,0,2547,1450,581,0,0,581
1773,0,0,1773,1460,799,0,0,799
1066,0,0,1066,1470,1124,0,0,1124
539,0,0,539,1480,1606,0,0,1606
228,0,0,228,1490,2239,0,0,2239
87,0,0,87,1500,3104,0,0,3104
41,0,0,41,1510,4052,0,0,4052
Time,Price,%,SD
25/03 09:32,"1,465.71",-0.32,10.13
Base,High,Low,CALL,,PUT,Low,High,Base
5264,0,0,5264,1420,220,0,0,220
4406,0,0,4406,1430,297,0,0,297
3416,0,0,3416,1440,420,0,0,420
2547,0,0,2547,1450,581,0,0,581
1773,0,0,1773,1460,799,0,0,799
1066,0,0,1066,1470,1124,0,0,1124
539,0,0,539,1480,1606,0,0,1606
228,0,0,228,1490,2239,0,0,2239
87,0,0,87,1500,3104,0,0,3104
41,0,0,41,1510,4052,0,0,4052
Time,Price,%,SD
25/03 09:34,"1,465.71",-0.32,10.13
Base,High,Low,CALL,,PUT,Low,High,Base
5264,0,0,5264,1420,220,0,0,220
4406,0,0,4406,1430,297,0,0,297
3416,0,0,3416,1440,420,0,0,420
2547,0,0,2547,1450,581,0,0,581
1773,0,0,1773,1460,799,1720,2300,799
1066,750,125,1066,1470,1124,2300,3050,1124
539,195,40,539,1480,1606,3000,3950,1606
228,120,19,228,1490,2239,4200,4900,2239
87,38,10,87,1500,3104,5800,5850,3104
41,30,6,41,1510,4052,0,0,4052
Time,Price,%,SD
25/03 09:37,"1,441.98",-1.94,10.13
Base,High,Low,CALL,,PUT,Low,High,Base
7331,0,0,7331,1400,106,260,330,106
6620,0,0,6620,1410,153,230,430,153
5264,0,0,5264,1420,220,350,690,220
4406,2100,1950,4406,1430,297,700,940,297
3416,1680,1310,3416,1440,420,1010,1300,420
2547,1200,780,2547,1450,581,1400,1750,581
1773,1000,370,1773,1460,799,1720,2300,799
1066,750,125,1066,1470,1124,2300,3050,1124
539,195,40,539,1480,1606,3000,3950,1606
228,120,19,228,1490,2239,4200,4900,2239
Time,Price,%,SD
25/03 09:39,"1,441.98",-1.94,10.13
Base,High,Low,CALL,,PUT,Low,High,Base
7331,0,0,7331,1400,280,260,330,106
6620,0,0,6620,1410,400,230,430,153
5264,0,0,5264,1420,580,350,690,220
4406,2100,1950,1950,1430,840,700,940,297
3416,1680,1310,1310,1440,1180,1010,1300,420
2547,1200,780,780,1450,1650,1400,1750,581
1773,1000,370,370,1460,2230,1720,2300,799
1066,750,125,145,1470,3020,2300,3050,1124
539,195,40,58,1480,3900,3000,3950,1606
228,120,19,20,1490,4900,4200,4900,2239
Time,Price,%,SD
25/03 09:41,"1,437.02",-2.27,10.13
Base,High,Low,CALL,,PUT,Low,High,Base
10610,0,0,10610,1390,240,150,240,77
7331,0,0,7331,1400,280,260,330,106
6620,0,0,6620,1410,400,230,430,153
5264,0,0,5264,1420,580,350,690,220
