Time,Price,%,SD
22/03 09:25,"1,257.63",-15.22,10.01
Base,High,Low,CALL,,PUT,Low,High,Base
13280,0,0,13280,1350,20,0,0,20
12744,0,0,12744,1360,24,0,0,24
11746,0,0,11746,1370,28,0,0,28
10193,0,0,10193,1380,44,0,0,44
10610,0,0,10610,1390,53,0,0,53
8280,0,0,8280,1400,71,0,0,71
7175,0,0,7175,1410,97,0,0,97
6414,0,0,6414,1420,125,0,0,125
6307,0,0,6307,1430,165,0,0,165
4514,0,0,4514,1440,230,0,0,230
Time,Price,%,SD
22/03 09:29,"1,257.63",-15.22,10.01
Base,High,Low,CALL,,PUT,Low,High,Base
13280,0,0,13280,1350,20,0,0,20
12744,0,0,12744,1360,24,0,0,24
11746,0,0,11746,1370,28,0,0,28
10193,0,0,10193,1380,44,0,0,44
10610,0,0,10610,1390,53,0,0,53
8280,0,0,8280,1400,71,0,0,71
7175,0,0,7175,1410,97,0,0,97
6414,0,0,6414,1420,125,0,0,125
6307,0,0,6307,1430,165,0,0,165
4514,0,0,4514,1440,230,0,0,230
Time,Price,%,SD
22/03 09:31,"1,274.32",-14.10,10.01
Base,High,Low,CALL,,PUT,Low,High,Base
13280,0,0,13280,1350,20,0,0,20
12744,0,0,12744,1360,24,0,0,24
11746,0,0,11746,1370,28,0,0,28
10193,0,0,10193,1380,44,0,0,44
10610,0,0,10610,1390,53,0,0,53
8280,0,0,8280,1400,71,0,0,71
7175,0,0,7175,1410,97,0,0,97
6414,0,0,6414,1420,125,0,0,125
6307,0,0,6307,1430,165,0,0,165
4514,0,0,4514,1440,230,0,0,230
Time,Price,%,SD
22/03 09:32,"1,274.32",-14.10,10.01
Base,High,Low,CALL,,PUT,Low,High,Base
13280,0,0,13280,1350,20,0,0,20
12744,0,0,12744,1360,24,0,0,24
11746,0,0,11746,1370,28,0,0,28
10193,0,0,10193,1380,44,0,0,44
10610,0,0,10610,1390,53,0,0,53
8280,0,0,8280,1400,71,0,0,71
7175,0,0,7175,1410,97,0,0,97
6414,0,0,6414,1420,125,0,0,125
6307,0,0,6307,1430,165,0,0,165
4514,0,0,4514,1440,230,0,0,230
Time,Price,%,SD
22/03 09:36,"1,466.11",-1.17,10.01
Base,High,Low,CALL,,PUT,Low,High,Base
6414,0,0,6414,1420,125,0,0,125
6307,0,0,6307,1430,165,0,0,165
4514,0,0,4514,1440,230,0,0,230
3575,0,0,3575,1450,302,350,430,302
2788,2440,2230,2788,1460,422,390,600,422
1969,1610,1500,1969,1470,604,730,850,604
1286,1110,880,1286,1480,870,990,1230,870
725,600,450,725,1490,1315,1500,1810,1315
380,310,230,380,1500,1969,2200,2480,1969
195,125,115,195,1510,2868,3100,3400,2868
Time,Price,%,SD
22/03 09:39,"1,466.11",-1.17,10.01
Base,High,Low,CALL,,PUT,Low,High,Base
6414,0,0,6414,1420,125,0,0,125
6307,0,0,6307,1430,210,210,210,165
4514,0,0,4514,1440,250,250,250,230
3575,0,0,3575,1450,410,350,430,302
2788,2440,2230,2300,1460,590,390,600,422
1969,1610,1500,1500,1470,800,730,850,604
1286,1110,880,890,1480,1210,990,1230,870
725,600,450,470,1490,1810,1500,1810,1315
380,310,230,230,1500,2430,2200,2480,1969
195,125,115,120,1510,3400,3100,3400,2868
Time,Price,%,SD
22/03 09:43,"1,476.04",-0.50,10.01
Base,High,Low,CALL,,PUT,Low,High,Base
6307,0,0,6307,1430,210,210,210,165
4514,0,0,4514,1440,290,250,250,230
3575,0,0,3575,1450,420,350,430,302
2788,2440,2230,2290,1460,590,390,600,422
1969,1610,1500,1540,1470,830,730,850,604
1286,1110,880,910,1480,1210,990,1230,870
725,600,450,490,1490,1780,1500,1810,1315
380,310,230,240,1500,2540,2200,2480,1969
195,125,115,125,1510,3400,3100,3600,2868
100,72,60,66,1520,3832,4450,4530,3832
Time,Price,%,SD
22/03 09:47,"1,476.04",-0.50,10.01
Base,High,Low,CALL,,PUT,Low,High,Base
6307,5000,4740,4750,1430,260,200,260,165
4514,0,0,4514,1440,360,250,360,230
3575,3150,2980,2980,1450,490,350,500,302
2788,2440,2170,2170,1460,690,390,690,422
1969,1610,1430,1450,1470,960,730,980,604
1286,1110,840,860,1480,1380,990,1390,870
725,600,430,450,1490,1970,1500,2000,1315
380,310,220,230,1500,2730,2200,2760,1969
195,130,110,115,1510,3630,3100,3600,2868
100,72,60,66,1520,4480,4450,4530,3832
Time,Price,%,SD
22/03 09:50,"1,476.04",-0.50,10.01
Base,High,Low,CALL,,PUT,Low,High,Base
6307,5000,4740,4750,1430,260,200,260,165
4514,0,0,4514,1440,360,250,360,230
3575,3150,2980,2980,1450,490,350,500,302
2788,2440,2170,2170,1460,690,390,690,422
1969,1610,1430,1450,1470,960,730,980,604
1286,1110,840,860,1480,1380,990,1390,870
725,600,430,450,1490,1970,1500,2000,1315
380,310,220,230,1500,2730,2200,2760,1969
195,130,110,115,1510,3630,3100,3600,2868
100,72,60,66,1520,4480,4450,4530,3832
Time,Price,%,SD
22/03 09:55,"1,476.04",-0.50,10.01
Base,High,Low,CALL,,PUT,Low,High,Base
6307,5000,4740,4750,1430,260,200,260,165
4514,0,0,4514,1440,360,250,360,230
3575,3150,2980,2980,1450,490,350,500,302
2788,2440,2170,2170,1460,690,390,690,422
1969,1610,1430,1450,1470,960,730,980,604
1286,1110,840,860,1480,1380,990,1390,870
725,600,430,450,1490,1970,1500,2000,1315
380,310,220,230,1500,2730,2200,2760,1969
195,130,110,115,1510,3630,3100,3600,2868
100,72,60,66,1520,4480,4450,4530,3832
Time,Price,%,SD
22/03 09:57,"1,476.04",-0.50,10.01
Base,High,Low,CALL,,PUT,Low,High,Base
6307,5000,4740,4750,1430,260,200,260,165
4514,0,0,4514,1440,360,250,360,230
3575,3150,2980,2980,1450,490,350,500,302
2788,2440,2170,2170,1460,690,390,690,422
