Time,Price,%,SD
03/04 09:25,"1,431.61",0.04,11.84
Base,High,Low,CALL,,PUT,Low,High,Base
4825,0,0,4825,1390,844,0,0,844
4036,0,0,4036,1400,1058,0,0,1058
3302,0,0,3302,1410,1356,0,0,1356
2577,0,0,2577,1420,1680,0,0,1680
1953,0,0,1953,1430,2070,0,0,2070
1434,0,0,1434,1440,2564,0,0,2564
1005,0,0,1005,1450,3104,0,0,3104
650,0,0,650,1460,3696,0,0,3696
396,0,0,396,1470,4386,0,0,4386
210,0,0,210,1480,5152,0,0,5152
Time,Price,%,SD
03/04 09:26,"1,431.61",0.04,11.84
Base,High,Low,CALL,,PUT,Low,High,Base
4825,0,0,4825,1390,844,0,0,844
4036,0,0,4036,1400,1058,0,0,1058
3302,0,0,3302,1410,1356,0,0,1356
2577,0,0,2577,1420,1680,0,0,1680
1953,0,0,1953,1430,2070,0,0,2070
1434,0,0,1434,1440,2564,0,0,2564
1005,0,0,1005,1450,3104,0,0,3104
650,0,0,650,1460,3696,0,0,3696
396,0,0,396,1470,4386,0,0,4386
210,0,0,210,1480,5152,0,0,5152
Time,Price,%,SD
03/04 09:29,"1,431.61",0.04,11.84
Base,High,Low,CALL,,PUT,Low,High,Base
4825,0,0,4825,1390,844,0,0,844
4036,0,0,4036,1400,1058,0,0,1058
3302,0,0,3302,1410,1356,0,0,1356
2577,0,0,2577,1420,1680,0,0,1680
1953,0,0,1953,1430,2070,0,0,2070
1434,0,0,1434,1440,2564,0,0,2564
1005,0,0,1005,1450,3104,0,0,3104
650,0,0,650,1460,3696,0,0,3696
396,0,0,396,1470,4386,0,0,4386
210,0,0,210,1480,5152,0,0,5152
Time,Price,%,SD
03/04 09:31,"1,412.12",-1.32,11.84
Base,High,Low,CALL,,PUT,Low,High,Base
7605,0,0,7605,1370,503,0,0,503
5650,0,0,5650,1380,657,0,0,657
4825,0,0,4825,1390,844,0,0,844
4036,0,0,4036,1400,1058,0,0,1058
3302,0,0,3302,1410,1356,0,0,1356
2577,0,0,2577,1420,1680,0,0,1680
1953,0,0,1953,1430,2070,0,0,2070
1434,0,0,1434,1440,2564,0,0,2564
1005,0,0,1005,1450,3104,0,0,3104
650,0,0,650,1460,3696,0,0,3696
Time,Price,%,SD
03/04 09:32,"1,412.12",-1.32,11.84
Base,High,Low,CALL,,PUT,Low,High,Base
7605,0,0,7605,1370,503,0,0,503
5650,0,0,5650,1380,657,0,0,657
4825,0,0,4825,1390,844,0,0,844
4036,0,0,4036,1400,1058,0,0,1058
3302,0,0,3302,1410,1356,0,0,1356
2577,0,0,2577,1420,1680,0,0,1680
1953,0,0,1953,1430,2070,0,0,2070
1434,0,0,1434,1440,3000,2780,3100,2564
1005,870,870,870,1450,3700,3700,3700,3104
650,0,0,650,1460,4190,4190,4190,3696
Time,Price,%,SD
03/04 09:39,"1,447.62",1.16,11.84
Base,High,Low,CALL,,PUT,Low,High,Base
4036,3400,3250,3400,1400,1220,1210,1400,1058
3302,2740,2720,2740,1410,1580,1540,1900,1356
2577,2140,2000,2120,1420,1920,1870,2070,1680
1953,1620,1500,1580,1430,2400,2400,2530,2070
1434,1180,960,1140,1440,2940,2780,3120,2564
1005,870,710,760,1450,3730,3640,3760,3104
650,480,450,480,1460,4190,4190,4190,3696
396,280,250,270,1470,5080,5080,5080,4386
210,160,120,150,1480,5152,0,0,5152
109,80,68,76,1490,6064,0,0,6064
Time,Price,%,SD
03/04 09:41,"1,413.71",-1.21,11.84
