Time,Price,%,SD
15/03 09:25,"1,791.16",19.48,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
1,0,0,1,1750,0,0,0,0
1,0,0,1,1760,0,0,0,0
1,0,0,1,1770,0,0,0,0
1,0,0,1,1780,0,0,0,0
6,0,0,6,1790,0,0,0,0
1,0,0,1,1800,30474,0,0,30474
4,0,0,4,1810,0,0,0,0
4,0,0,4,1820,0,0,0,0
4,0,0,4,1830,0,0,0,0
5,0,0,5,1840,0,0,0,0
Time,Price,%,SD
15/03 09:27,"1,643.79",9.65,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
14,0,0,14,1600,8737,0,0,8737
11,0,0,11,1610,10500,0,0,10500
8,0,0,8,1620,11308,0,0,11308
7,0,0,7,1630,13060,0,0,13060
5,0,0,5,1640,13800,0,0,13800
4,0,0,4,1650,0,0,0,0
6,0,0,6,1660,16640,0,0,16640
3,0,0,3,1670,17700,0,0,17700
2,0,0,2,1680,0,0,0,0
2,0,0,2,1690,0,0,0,0
Time,Price,%,SD
15/03 09:51,"1,505.36",0.42,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4670,4670,1460,230,210,260,290
3488,3910,3820,3830,1470,330,310,380,415
2724,3060,2800,2920,1480,490,450,550,596
1997,2350,2060,2180,1490,730,680,830,867
1398,1690,1440,1530,1500,1090,1020,1190,1272
950,1150,970,1030,1510,1580,1490,1720,1798
616,770,630,660,1520,2210,2100,2380,2456
389,490,400,410,1530,2980,2820,3120,3262
236,290,230,250,1540,3770,3690,3770,4161
145,175,140,145,1550,4978,0,0,4978
Time,Price,%,SD
15/03 09:59,"1,505.36",0.42,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4670,4670,1460,230,210,260,290
3488,3910,3820,3830,1470,330,310,380,415
2724,3060,2800,2920,1480,490,450,550,596
1997,2350,2060,2180,1490,730,680,830,867
1398,1690,1440,1530,1500,1090,1020,1190,1272
950,1150,970,1030,1510,1580,1490,1720,1798
616,770,630,660,1520,2210,2100,2380,2456
389,490,400,410,1530,2980,2820,3120,3262
236,290,230,250,1540,3770,3690,3770,4161
145,175,140,145,1550,4978,0,0,4978
Time,Price,%,SD
15/03 10:05,"1,505.39",0.42,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4670,4670,1460,230,210,260,290
3488,3910,3820,3830,1470,330,310,380,415
2724,3060,2800,2920,1480,490,450,550,596
1997,2350,2060,2180,1490,730,680,830,867
1398,1690,1440,1530,1500,1090,1020,1190,1272
950,1150,970,1030,1510,1580,1490,1720,1798
616,770,630,660,1520,2210,2100,2380,2456
389,490,400,410,1530,2980,2820,3120,3262
236,290,230,250,1540,3770,3690,3770,4161
145,175,140,145,1550,4978,0,0,4978
Time,Price,%,SD
15/03 10:07,"1,505.39",0.42,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4670,4670,1460,230,210,260,290
3488,3910,3790,3830,1470,330,310,380,415
2724,3060,2800,2920,1480,490,450,550,596
1997,2350,2060,2180,1490,730,680,830,867
1398,1690,1440,1530,1500,1090,1020,1190,1272
950,1150,970,1030,1510,1580,1490,1720,1798
616,770,630,660,1520,2210,2100,2380,2456
389,490,400,410,1530,2980,2820,3120,3262
236,290,230,250,1540,3770,3690,3770,4161
145,175,140,145,1550,4978,0,0,4978
Time,Price,%,SD
15/03 10:08,"1,505.39",0.42,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4670,4670,1460,220,210,260,290
3488,3910,3790,3790,1470,330,310,380,415
2724,3060,2800,2900,1480,480,450,550,596
1997,2350,2060,2190,1490,720,680,830,867
1398,1690,1440,1540,1500,1100,1020,1190,1272
950,1150,970,1040,1510,1580,1490,1720,1798
616,770,630,670,1520,2220,2100,2380,2456
389,490,400,420,1530,2980,2820,3120,3262
236,290,230,250,1540,3770,3690,3770,4161
145,175,140,150,1550,4978,0,0,4978
Time,Price,%,SD
15/03 10:10,"1,504.63",0.37,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4670,4640,1460,230,210,260,290
3488,3910,3790,3750,1470,330,310,380,415
2724,3060,2800,2910,1480,490,450,550,596
1997,2350,2060,2160,1490,740,680,830,867
1398,1690,1440,1510,1500,1100,1020,1190,1272
950,1150,970,1010,1510,1590,1490,1720,1798
616,770,630,650,1520,2230,2100,2380,2456
389,490,400,410,1530,2990,2820,3120,3262
236,290,230,240,1540,3840,3690,3770,4161
145,175,140,145,1550,4790,0,0,4978
Time,Price,%,SD
15/03 10:13,"1,504.63",0.37,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4640,4640,1460,230,210,260,290
3488,3910,3740,3750,1470,330,310,380,415
2724,3060,2800,2910,1480,490,450,550,596
1997,2350,2060,2160,1490,740,680,830,867
1398,1690,1440,1510,1500,1100,1020,1190,1272
950,1150,970,1010,1510,1590,1490,1720,1798
616,770,630,650,1520,2230,2100,2380,2456
389,490,400,410,1530,2990,2820,3120,3262
236,290,230,240,1540,3840,3690,3840,4161
145,175,140,145,1550,4790,4790,4790,4978
Time,Price,%,SD
15/03 10:15,"1,504.02",0.33,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4640,4640,1460,230,210,260,290
3488,3910,3740,3750,1470,330,310,380,415
2724,3060,2800,2910,1480,490,450,550,596
1997,2350,2060,2160,1490,740,680,830,867
1398,1690,1440,1510,1500,1100,1020,1190,1272
950,1150,970,1010,1510,1590,1490,1720,1798
616,770,630,650,1520,2230,2100,2380,2456
389,490,400,410,1530,2990,2820,3120,3262
236,290,230,240,1540,3840,3690,3840,4161
145,175,140,145,1550,4790,4790,4790,4978
Time,Price,%,SD
15/03 10:17,"1,504.02",0.33,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4640,4640,1460,230,210,260,290
3488,3910,3740,3750,1470,330,310,380,415
2724,3060,2800,2890,1480,500,450,550,596
1997,2350,2060,2120,1490,740,680,830,867
1398,1690,1440,1490,1500,1110,1020,1190,1272
950,1150,970,990,1510,1610,1490,1720,1798
616,770,630,630,1520,2250,2100,2380,2456
389,490,400,390,1530,3000,2820,3120,3262
236,290,230,240,1540,3800,3690,3840,4161
145,175,140,140,1550,4790,4790,4790,4978
Time,Price,%,SD
15/03 10:34,"1,504.22",0.34,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4570,4570,1460,240,210,260,290
3488,3910,3670,3670,1470,340,310,380,415
2724,3060,2800,2830,1480,510,450,550,596
1997,2350,2060,2080,1490,770,680,830,867
1398,1690,1440,1450,1500,1140,1020,1190,1272
950,1150,960,960,1510,1640,1490,1720,1798
616,770,610,620,1520,2280,2100,2380,2456
389,490,380,380,1530,3050,2820,3120,3262
236,290,230,230,1540,3800,3690,3840,4161
145,175,130,130,1550,4810,4790,4810,4978
Time,Price,%,SD
15/03 10:55,"1,502.79",0.25,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4490,4500,1460,240,210,260,290
3488,3910,3620,3620,1470,350,310,380,415
2724,3060,2770,2780,1480,520,450,550,596
1997,2350,2020,2050,1490,770,680,830,867
1398,1690,1400,1410,1500,1150,1020,1190,1272
950,1150,920,930,1510,1670,1490,1720,1798
616,770,590,590,1520,2340,2100,2380,2456
389,490,360,360,1530,3100,2820,3120,3262
236,290,210,210,1540,3910,3690,3930,4161
145,175,125,125,1550,4820,4790,4860,4978
Time,Price,%,SD
15/03 10:57,"1,503.36",0.28,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4490,4500,1460,240,210,260,290
3488,3910,3620,3630,1470,350,310,380,415
2724,3060,2770,2790,1480,510,450,550,596
1997,2350,2020,2040,1490,770,680,830,867
1398,1690,1400,1430,1500,1130,1020,1190,1272
950,1150,920,930,1510,1650,1490,1720,1798
616,770,590,590,1520,2300,2100,2380,2456
389,490,360,370,1530,3100,2820,3120,3262
236,290,210,210,1540,3910,3690,3930,4161
145,175,125,125,1550,4850,4790,4860,4978
Time,Price,%,SD
15/03 10:59,"1,503.36",0.28,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4490,4500,1460,240,210,260,290
3488,3910,3620,3630,1470,350,310,380,415
2724,3060,2770,2790,1480,510,450,550,596
1997,2350,2020,2040,1490,770,680,830,867
1398,1690,1400,1430,1500,1130,1020,1190,1272
950,1150,920,930,1510,1650,1490,1720,1798
616,770,590,590,1520,2300,2100,2380,2456
389,490,360,370,1530,3100,2820,3120,3262
236,290,210,210,1540,3910,3690,3930,4161
145,175,125,125,1550,4850,4790,4860,4978
Time,Price,%,SD
15/03 11:01,"1,503.27",0.28,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4490,4500,1460,240,210,260,290
3488,3910,3620,3630,1470,350,310,380,415
2724,3060,2770,2790,1480,510,450,550,596
1997,2350,2020,2040,1490,770,680,830,867
1398,1690,1400,1430,1500,1130,1020,1190,1272
950,1150,920,930,1510,1650,1490,1720,1798
616,770,590,590,1520,2300,2100,2380,2456
389,490,360,370,1530,3100,2820,3120,3262
236,290,210,210,1540,3910,3690,3930,4161
145,175,125,125,1550,4850,4790,4860,4978
Time,Price,%,SD
15/03 11:02,"1,503.27",0.28,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4490,4500,1460,240,210,260,290
3488,3910,3620,3650,1470,350,310,380,415
2724,3060,2770,2810,1480,510,450,550,596
1997,2350,2020,2060,1490,770,680,830,867
1398,1690,1400,1430,1500,1130,1020,1190,1272
950,1150,920,940,1510,1640,1490,1720,1798
616,770,590,590,1520,2290,2100,2380,2456
389,490,360,370,1530,3100,2820,3120,3262
236,290,210,210,1540,3910,3690,3930,4161
145,175,125,125,1550,4850,4790,4860,4978
Time,Price,%,SD
15/03 11:05,"1,503.88",0.32,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4490,4500,1460,240,210,260,290
3488,3910,3620,3650,1470,350,310,380,415
2724,3060,2770,2810,1480,510,450,550,596
1997,2350,2020,2060,1490,770,680,830,867
1398,1690,1400,1430,1500,1130,1020,1190,1272
950,1150,920,940,1510,1640,1490,1720,1798
616,770,590,590,1520,2290,2100,2380,2456
389,490,360,370,1530,3100,2820,3120,3262
236,290,210,210,1540,3910,3690,3930,4161
145,175,125,125,1550,4850,4780,4860,4978
Time,Price,%,SD
15/03 11:07,"1,503.88",0.32,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4490,4640,1460,240,210,260,290
3488,3910,3620,3640,1470,350,310,380,415
2724,3060,2770,2840,1480,510,450,550,596
1997,2350,2020,2140,1490,750,680,830,867
1398,1690,1400,1500,1500,1100,1020,1190,1272
950,1150,920,960,1510,1620,1490,1720,1798
616,770,590,630,1520,2240,2100,2380,2456
389,490,360,380,1530,2970,2820,3120,3262
236,290,210,220,1540,3900,3690,3930,4161
145,175,125,130,1550,4780,4780,4860,4978
Time,Price,%,SD
15/03 11:08,"1,503.88",0.32,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4490,4640,1460,240,210,260,290
3488,3910,3620,3640,1470,350,310,380,415
2724,3060,2770,2840,1480,510,450,550,596
1997,2350,2020,2140,1490,750,680,830,867
1398,1690,1400,1500,1500,1100,1020,1190,1272
950,1150,920,960,1510,1620,1490,1720,1798
616,770,590,630,1520,2240,2100,2380,2456
389,490,360,380,1530,2970,2820,3120,3262
236,290,210,220,1540,3900,3690,3930,4161
145,175,125,130,1550,4780,4780,4860,4978
Time,Price,%,SD
15/03 11:11,"1,504.51",0.36,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4657,4700,4490,4640,1460,240,210,260,290
3488,3910,3620,3640,1470,350,310,380,415
2724,3060,2770,2840,1480,510,450,550,596
1997,2350,2020,2140,1490,750,680,830,867
