Time,Price,%,SD
08/04 09:24,"1,403.45",0.85,12.54
Base,High,Low,CALL,,PUT,Low,High,Base
4429,0,0,4429,1360,1425,0,0,1425
3662,0,0,3662,1370,1673,0,0,1673
3048,0,0,3048,1380,1996,0,0,1996
2427,0,0,2427,1390,2352,0,0,2352
1859,0,0,1859,1400,2815,0,0,2815
1373,0,0,1373,1410,3341,0,0,3341
993,0,0,993,1420,3936,0,0,3936
689,0,0,689,1430,4588,0,0,4588
451,0,0,451,1440,5183,0,0,5183
295,0,0,295,1450,6222,0,0,6222
Time,Price,%,SD
08/04 09:35,"1,407.57",1.14,12.54
Base,High,Low,CALL,,PUT,Low,High,Base
4429,0,0,4429,1360,1425,1000,1160,1425
3662,4500,4280,4280,1370,1400,1340,1750,1673
3048,3190,3180,3048,1380,1590,1590,1670,1996
2427,2760,2600,2427,1390,2000,1810,2010,2352
1859,2100,1940,1859,1400,2400,2300,2420,2815
1373,1700,1440,1700,1410,3341,0,0,3341
993,1180,1020,1180,1420,4100,4100,4100,3936
689,900,690,900,1430,4588,0,0,4588
451,540,400,490,1440,5183,0,0,5183
295,320,280,295,1450,6222,0,0,6222
Time,Price,%,SD
08/04 09:41,"1,406.59",1.07,12.54
Base,High,Low,CALL,,PUT,Low,High,Base
4429,0,0,4429,1360,1250,1000,1160,1425
3662,4500,4280,4500,1370,1470,1340,1750,1673
3048,3190,3180,3080,1380,1750,1590,1670,1996
2427,2760,2600,2420,1390,2110,1810,2010,2352
1859,2100,1940,1840,1400,2500,2300,2420,2815
1373,1700,1440,1350,1410,3000,0,0,3341
993,1180,1020,950,1420,3620,4100,4100,3936
689,900,690,640,1430,4200,0,0,4588
451,540,400,420,1440,5170,0,0,5183
295,320,280,260,1450,6222,0,0,6222
Time,Price,%,SD
08/04 09:45,"1,398.18",0.47,12.54
Base,High,Low,CALL,,PUT,Low,High,Base
5291,5680,5620,5620,1350,870,780,1100,1196
4429,4900,4590,4900,1360,1050,970,1520,1425
3662,4500,3980,4070,1370,1280,1200,1750,1673
3048,3430,3040,3290,1380,1550,1450,1820,1996
2427,2760,2380,2640,1390,1890,1780,2180,2352
1859,2110,1800,2040,1400,2280,2140,2600,2815
1373,1700,1290,1520,1410,2740,2610,3110,3341
993,1180,920,1080,1420,3300,3160,4100,3936
689,900,630,730,1430,3900,3820,4310,4588
451,540,400,470,1440,4700,4560,5170,5183
Time,Price,%,SD
08/04 09:46,"1,398.18",0.47,12.54
Base,High,Low,CALL,,PUT,Low,High,Base
5291,5680,5620,5620,1350,870,780,1100,1196
4429,4900,4590,4900,1360,1050,970,1520,1425
3662,4500,3980,4070,1370,1280,1200,1750,1673
3048,0,0,3290,1380,1550,1450,1820,1996
2427,2760,2380,2640,1390,1890,1780,2180,2352
1859,2110,1800,2040,1400,2280,2140,2600,2815
1373,1700,1290,1520,1410,2740,2610,3110,3341
993,1180,920,1080,1420,3300,3160,4100,3936
689,900,630,730,1430,3900,3820,4310,4588
451,540,400,470,1440,4700,4560,5170,5183
Time,Price,%,SD
08/04 09:51,"1,398.18",0.47,12.54
Base,High,Low,CALL,,PUT,Low,High,Base
5291,5680,5620,5620,1350,870,780,1100,1196
4429,4900,4590,4900,1360,1050,970,1520,1425
3662,4500,3980,4070,1370,1280,1200,1750,1673
3048,3430,3040,3290,1380,1550,1450,1820,1996
2427,2760,2380,2640,1390,1890,1780,2180,2352
1859,2110,1800,2040,1400,2280,2140,2600,2815
1373,1700,1290,1520,1410,2740,2610,3110,3341
993,1180,920,1080,1420,3300,3160,4100,3936
689,900,630,730,1430,3900,3820,4310,4588
451,540,400,470,1440,4700,4560,5170,5183
Time,Price,%,SD
08/04 09:57,"1,398.18",0.47,12.54
Base,High,Low,CALL,,PUT,Low,High,Base
5291,5680,5620,5620,1350,870,780,1100,1196
4429,4900,4590,4900,1360,1050,970,1520,1425
3662,4500,3980,4070,1370,1280,1200,1750,1673
3048,3430,3040,3290,1380,1550,1450,1820,1996
2427,2760,2380,2640,1390,1890,1780,2180,2352
1859,2110,1800,2040,1400,2280,2140,2600,2815
1373,1700,1290,1520,1410,2740,2610,3110,3341
993,1180,920,1080,1420,3300,3160,4100,3936
689,900,630,730,1430,3900,3820,4310,4588
451,540,400,470,1440,4700,4560,5170,5183
Time,Price,%,SD
08/04 09:59,"1,398.18",0.47,12.54
Base,High,Low,CALL,,PUT,Low,High,Base
5291,5680,5620,5620,1350,870,780,1100,1196
4429,4900,4590,4900,1360,1050,970,1520,1425
3662,4500,3980,4070,1370,1280,1200,1750,1673
3048,3430,3040,3290,1380,1550,1450,1820,1996
2427,2760,2380,2640,1390,1890,1780,2180,2352
1859,2110,1800,2040,1400,2280,2140,2600,2815
1373,1700,1290,1520,1410,2740,2610,3110,3341
993,1180,920,1080,1420,3300,3160,4100,3936
689,900,630,730,1430,3900,3820,4310,4588
451,540,400,470,1440,4700,4560,5170,5183
Time,Price,%,SD
08/04 10:09,"1,398.99",0.53,12.54
Base,High,Low,CALL,,PUT,Low,High,Base
