Time,Price,%,SD
21/03 09:25,"1,495.61",0.50,10.67
Base,High,Low,CALL,,PUT,Low,High,Base
3951,0,0,3951,1450,199,0,0,199
3138,0,0,3138,1460,291,0,0,291
2292,0,0,2292,1470,430,0,0,430
1512,0,0,1512,1480,658,0,0,658
882,0,0,882,1490,1023,0,0,1023
460,0,0,460,1500,1606,0,0,1606
230,0,0,230,1510,2436,0,0,2436
111,0,0,111,1520,3359,0,0,3359
57,0,0,57,1530,4328,0,0,4328
31,0,0,31,1540,5210,0,0,5210
Time,Price,%,SD
21/03 09:29,"1,495.61",0.50,10.67
Base,High,Low,CALL,,PUT,Low,High,Base
3951,0,0,3951,1450,199,0,0,199
3138,0,0,3138,1460,291,0,0,291
2292,0,0,2292,1470,430,0,0,430
1512,0,0,1512,1480,658,0,0,658
882,0,0,882,1490,1023,0,0,1023
460,0,0,460,1500,1606,0,0,1606
230,0,0,230,1510,2436,0,0,2436
111,0,0,111,1520,3359,0,0,3359
57,0,0,57,1530,4328,0,0,4328
31,0,0,31,1540,5210,0,0,5210
Time,Price,%,SD
21/03 09:33,"1,495.86",0.51,10.67
Base,High,Low,CALL,,PUT,Low,High,Base
3951,0,0,3951,1450,199,0,0,199
3138,0,0,3138,1460,291,0,0,291
2292,2310,2310,2310,1470,430,0,0,430
1512,0,0,1512,1480,658,0,0,658
882,0,0,882,1490,1023,0,0,1023
460,0,0,460,1500,1606,0,0,1606
230,0,0,230,1510,2436,0,0,2436
111,0,0,111,1520,3359,0,0,3359
57,0,0,57,1530,4328,0,0,4328
31,0,0,31,1540,5210,0,0,5210
Time,Price,%,SD
21/03 09:34,"1,494.07",0.39,10.67
Base,High,Low,CALL,,PUT,Low,High,Base
3951,0,0,3951,1450,199,0,0,199
3138,0,0,3138,1460,291,0,0,291
2292,2310,2310,2310,1470,430,0,0,430
1512,0,0,1512,1480,658,0,0,658
882,0,0,882,1490,1023,0,0,1023
460,0,0,460,1500,1606,0,0,1606
230,0,0,230,1510,2436,0,0,2436
111,0,0,111,1520,3359,0,0,3359
57,0,0,57,1530,4328,0,0,4328
31,0,0,31,1540,5210,0,0,5210
Time,Price,%,SD
21/03 09:37,"1,494.07",0.39,10.67
Base,High,Low,CALL,,PUT,Low,High,Base
3951,0,0,3951,1450,199,0,0,199
3138,0,0,3138,1460,291,0,0,291
2292,2310,2310,2310,1470,430,0,0,430
1512,1560,1500,1512,1480,658,580,610,658
882,920,870,882,1490,1023,930,970,1023
460,470,450,460,1500,1606,1480,1550,1606
230,230,210,230,1510,2436,0,0,2436
111,115,100,111,1520,3359,0,0,3359
57,54,52,57,1530,4328,0,0,4328
31,28,22,31,1540,5210,0,0,5210
Time,Price,%,SD
21/03 09:38,"1,494.07",0.39,10.67
Base,High,Low,CALL,,PUT,Low,High,Base
3951,0,0,3951,1450,199,170,175,199
3138,0,0,3138,1460,291,250,270,291
2292,2370,2310,2310,1470,430,380,410,430
1512,1560,1500,1512,1480,658,580,610,658
882,920,870,882,1490,1023,930,970,1023
460,470,450,460,1500,1606,1480,1550,1606
230,230,210,230,1510,2436,0,0,2436
111,115,100,111,1520,3359,0,0,3359
57,54,52,57,1530,4328,0,0,4328
31,28,22,31,1540,5210,0,0,5210
Time,Price,%,SD
21/03 09:40,"1,487.52",-0.05,10.67
Base,High,Low,CALL,,PUT,Low,High,Base
4877,5000,5000,5000,1440,146,0,0,146
3951,0,0,3951,1450,175,170,175,199
3138,0,0,3138,1460,250,250,270,291
2292,2370,2310,2350,1470,390,380,410,430
1512,1560,1500,1520,1480,600,580,610,658
882,920,850,890,1490,970,930,1030,1023
460,470,440,450,1500,1550,1480,1620,1606
230,230,210,220,1510,2436,2400,2400,2436
111,115,100,105,1520,3359,0,0,3359
57,54,52,52,1530,4328,0,0,4328
Time,Price,%,SD
21/03 09:42,"1,485.70",-0.17,10.67
Base,High,Low,CALL,,PUT,Low,High,Base
