Time,Price,%,SD
27/03 09:54,"1,452.93",1.01,11.82
Base,High,Low,CALL,,PUT,Low,High,Base
2901,4330,3980,4290,1410,42,30,70,253
1921,3350,2870,3300,1420,68,52,120,400
1157,2390,1560,2350,1430,110,82,280,644
569,1490,940,1440,1440,230,200,470,1011
220,760,430,720,1450,510,480,1200,1681
86,310,185,290,1460,1080,1030,1480,2548
34,110,64,100,1470,1880,1850,2160,3347
14,44,26,40,1480,2820,2790,3080,4402
10,20,14,20,1490,3770,3730,4000,4915
8,12,8,12,1500,4760,4760,5200,5997
Time,Price,%,SD
27/03 09:56,"1,452.93",1.01,11.82
Base,High,Low,CALL,,PUT,Low,High,Base
2901,4330,3980,4290,1410,42,30,70,253
1921,3350,2870,3300,1420,68,52,120,400
1157,2390,1560,2350,1430,110,82,280,644
569,1490,940,1440,1440,230,200,470,1011
220,760,430,720,1450,510,480,1200,1681
86,310,185,290,1460,1080,1030,1480,2548
34,110,64,100,1470,1880,1850,2160,3347
14,44,26,40,1480,2820,2790,3080,4402
10,20,14,20,1490,3770,3730,4000,4915
8,12,8,12,1500,4760,4760,5200,5997
Time,Price,%,SD
27/03 09:58,"1,452.93",1.01,11.82
Base,High,Low,CALL,,PUT,Low,High,Base
2901,4330,3980,4290,1410,42,30,70,253
1921,3350,2870,3300,1420,68,52,120,400
1157,2390,1560,2350,1430,110,82,280,644
569,1490,940,1440,1440,230,200,470,1011
220,760,430,720,1450,510,480,1200,1681
86,310,185,290,1460,1080,1030,1480,2548
34,110,64,100,1470,1880,1850,2160,3347
14,44,26,40,1480,2820,2790,3080,4402
10,20,14,20,1490,3770,3730,4000,4915
8,12,8,12,1500,4760,4760,5200,5997
Time,Price,%,SD
27/03 10:03,"1,452.93",1.01,11.82
Base,High,Low,CALL,,PUT,Low,High,Base
2901,4330,3980,4290,1410,42,30,70,253
1921,3350,2870,3300,1420,68,52,120,400
1157,2390,1560,2350,1430,110,82,280,644
569,1490,940,1440,1440,230,200,470,1011
220,760,430,720,1450,510,480,1200,1681
