Time,Price,%,SD
14/03 09:25,"1,499.12",-0.19,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
5372,0,0,5372,1450,254,0,0,254
4470,0,0,4470,1460,354,0,0,354
3594,0,0,3594,1470,487,0,0,487
2819,0,0,2819,1480,685,0,0,685
2104,0,0,2104,1490,957,0,0,957
1492,0,0,1492,1500,1354,0,0,1354
1014,0,0,1014,1510,1866,0,0,1866
660,0,0,660,1520,2509,0,0,2509
422,0,0,422,1530,3248,0,0,3248
256,0,0,256,1540,4128,0,0,4128
Time,Price,%,SD
14/03 09:29,"1,499.12",-0.19,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
5372,0,0,5372,1450,254,0,0,254
4470,0,0,4470,1460,354,0,0,354
3594,0,0,3594,1470,487,0,0,487
2819,0,0,2819,1480,685,0,0,685
2104,0,0,2104,1490,957,0,0,957
1492,0,0,1492,1500,1354,0,0,1354
1014,0,0,1014,1510,1866,0,0,1866
660,0,0,660,1520,2509,0,0,2509
422,0,0,422,1530,3248,0,0,3248
256,0,0,256,1540,4128,0,0,4128
Time,Price,%,SD
14/03 09:31,"1,498.93",-0.21,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
5372,0,0,5372,1450,254,0,0,254
4470,0,0,4470,1460,354,0,0,354
3594,0,0,3594,1470,487,0,0,487
2819,0,0,2819,1480,685,0,0,685
2104,0,0,2104,1490,957,0,0,957
1492,0,0,1492,1500,1354,0,0,1354
1014,0,0,1014,1510,1866,0,0,1866
660,0,0,660,1520,2509,0,0,2509
422,0,0,422,1530,3248,0,0,3248
256,0,0,256,1540,4128,0,0,4128
Time,Price,%,SD
14/03 09:33,"1,498.93",-0.21,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
5372,0,0,5372,1450,254,0,0,254
4470,0,0,4470,1460,354,0,0,354
3594,0,0,3594,1470,487,0,0,487
2819,0,0,2819,1480,685,0,0,685
2104,0,0,2104,1490,957,0,0,957
1492,0,0,1492,1500,1354,0,0,1354
1014,0,0,1014,1510,1866,0,0,1866
660,0,0,660,1520,2509,0,0,2509
422,0,0,422,1530,3248,0,0,3248
256,0,0,256,1540,4128,0,0,4128
Time,Price,%,SD
14/03 09:35,"1,511.52",0.63,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
3594,0,0,3594,1470,487,0,0,487
2819,0,0,2819,1480,685,0,0,685
2104,0,0,2104,1490,957,0,0,957
1492,0,0,1492,1500,1354,0,0,1354
1014,0,0,1014,1510,1866,0,0,1866
660,0,0,660,1520,2509,0,0,2509
422,0,0,422,1530,3248,0,0,3248
256,0,0,256,1540,4128,0,0,4128
159,0,0,159,1550,5020,0,0,5020
95,0,0,95,1560,6050,0,0,6050
Time,Price,%,SD
14/03 09:41,"1,498.81",-0.21,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
5372,0,0,5372,1450,260,250,270,254
4470,0,0,4470,1460,370,370,400,354
3594,0,0,3594,1470,510,510,540,487
2819,0,0,2819,1480,720,720,770,685
2104,2020,1910,1960,1490,1020,1020,1100,957
1492,1360,1300,1360,1500,1420,1420,1540,1354
1014,910,800,910,1510,2000,2000,2020,1866
660,590,560,590,1520,2650,2650,2700,2509
422,410,360,370,1530,3248,0,0,3248
256,240,220,220,1540,4128,0,0,4128
Time,Price,%,SD
14/03 09:43,"1,502.36",0.02,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4470,4500,4410,4470,1460,370,310,400,354
3594,3700,3450,3594,1470,510,430,540,487
2819,2980,2660,2819,1480,720,600,770,685
2104,2220,1910,1960,1490,1020,860,1100,957
1492,1630,1300,1360,1500,1420,1220,1540,1354
1014,1110,800,910,1510,2000,1700,2020,1866
660,740,560,590,1520,2650,2320,2700,2509
422,460,360,370,1530,3248,3120,3390,3248
256,290,220,220,1540,4128,3980,4160,4128
159,165,130,135,1550,5020,0,0,5020
Time,Price,%,SD
14/03 09:45,"1,502.36",0.02,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4470,4500,4410,4500,1460,310,310,400,354
3594,3700,3450,3700,1470,430,430,540,487
2819,2980,2660,2980,1480,600,600,770,685
2104,2220,1910,2220,1490,860,860,1100,957
1492,1630,1300,1630,1500,1220,1220,1540,1354
1014,1110,800,1110,1510,1700,1700,2020,1866
660,740,560,740,1520,2320,2320,2700,2509
422,460,360,460,1530,3120,3120,3390,3248
256,290,220,290,1540,4000,3980,4160,4128
159,165,130,165,1550,5020,0,0,5020
Time,Price,%,SD
14/03 09:47,"1,502.36",0.02,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4470,4500,4410,4500,1460,310,310,400,354
3594,3700,3450,3700,1470,430,430,540,487
2819,2980,2660,2980,1480,600,600,770,685
2104,2220,1910,2220,1490,860,860,1100,957
1492,1630,1300,1630,1500,1220,1220,1540,1354
1014,1110,800,1110,1510,1700,1700,2020,1866
660,740,560,740,1520,2320,2320,2700,2509
422,460,360,460,1530,3120,3120,3390,3248
256,290,220,290,1540,4000,3980,4160,4128
159,165,130,165,1550,5020,0,0,5020
Time,Price,%,SD
14/03 09:49,"1,502.36",0.02,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4470,4500,4410,4500,1460,310,310,400,354
3594,3700,3450,3700,1470,430,430,540,487
2819,2980,2660,2980,1480,600,600,770,685
2104,2220,1910,2220,1490,860,860,1100,957
1492,1630,1300,1630,1500,1220,1220,1540,1354
1014,1110,800,1110,1510,1700,1700,2020,1866
660,740,560,740,1520,2320,2320,2700,2509
422,460,360,460,1530,3120,3120,3390,3248
256,290,220,290,1540,4000,3980,4160,4128
159,165,130,165,1550,5020,0,0,5020
Time,Price,%,SD
14/03 09:51,"1,502.36",0.02,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4470,4500,4410,4500,1460,310,310,400,354
3594,3700,3450,3700,1470,430,430,540,487
2819,2980,2660,2980,1480,600,600,770,685
2104,2220,1910,2220,1490,860,860,1100,957
1492,1630,1300,1630,1500,1220,1220,1540,1354
1014,1110,800,1110,1510,1700,1700,2020,1866
660,740,560,740,1520,2320,2320,2700,2509
422,460,360,460,1530,3120,3120,3390,3248
256,290,220,290,1540,4000,3980,4160,4128
159,165,130,165,1550,5020,0,0,5020
Time,Price,%,SD
14/03 09:53,"1,502.36",0.02,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4470,4500,4410,4500,1460,310,310,400,354
3594,3700,3450,3700,1470,430,430,540,487
2819,2980,2660,2980,1480,600,600,770,685
2104,2220,1910,2220,1490,860,860,1100,957
1492,1630,1300,1630,1500,1220,1220,1540,1354
1014,1110,800,1110,1510,1700,1700,2020,1866
660,740,560,740,1520,2320,2320,2700,2509
422,460,360,460,1530,3120,3120,3390,3248
256,290,220,290,1540,4000,3980,4160,4128
159,165,130,165,1550,5020,0,0,5020
Time,Price,%,SD
14/03 09:55,"1,502.36",0.02,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4470,4500,4410,4500,1460,310,310,400,354
3594,3700,3450,3700,1470,430,430,540,487
2819,2980,2660,2980,1480,600,600,770,685
2104,2220,1910,2220,1490,860,860,1100,957
1492,1630,1300,1630,1500,1220,1220,1540,1354
1014,1110,800,1110,1510,1700,1700,2020,1866
660,740,560,740,1520,2320,2320,2700,2509
422,460,360,460,1530,3120,3120,3390,3248
256,290,220,290,1540,4000,3980,4160,4128
159,165,130,165,1550,5020,0,0,5020
Time,Price,%,SD
14/03 09:57,"1,502.36",0.02,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4470,4500,4410,4500,1460,310,310,400,354
3594,3700,3450,3700,1470,430,430,540,487
2819,2980,2660,2980,1480,600,600,770,685
2104,2220,1910,2220,1490,860,860,1100,957
1492,1630,1300,1630,1500,1220,1220,1540,1354
1014,1110,800,1110,1510,1700,1700,2020,1866
660,740,560,740,1520,2320,2320,2700,2509
422,460,360,460,1530,3120,3120,3390,3248
256,290,220,290,1540,4000,3980,4160,4128
159,165,130,165,1550,5020,0,0,5020
Time,Price,%,SD
14/03 10:01,"1,502.36",0.02,10.58
Base,High,Low,CALL,,PUT,Low,High,Base
4470,4500,4410,4500,1460,310,310,400,354
