Time,Price,%,SD
09/04 10:09,"1,422.87",0.42,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4300,0,0,5030,1380,730,0,0,1048
3909,0,0,4210,1390,920,0,0,1278
2875,0,0,3440,1400,1110,0,0,1566
2228,0,0,2700,1410,1400,0,0,1912
1633,0,0,2040,1420,1730,0,0,2310
1137,0,0,1460,1430,2170,0,0,2807
778,0,0,990,1440,2680,0,0,3339
491,0,0,630,1450,3320,0,0,3913
293,0,0,390,1460,4090,0,0,4515
172,0,0,220,1470,4910,0,0,7147
Time,Price,%,SD
09/04 10:13,"1,420.29",0.24,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4300,0,0,5030,1380,730,0,0,1048
3909,0,0,4210,1390,920,0,0,1278
2875,0,0,3440,1400,1110,0,0,1566
2228,0,0,2700,1410,1400,0,0,1912
1633,0,0,2040,1420,1730,0,0,2310
1137,0,0,1460,1430,2170,0,0,2807
778,0,0,990,1440,2680,0,0,3339
491,0,0,630,1450,3320,0,0,3913
293,0,0,390,1460,4090,0,0,4515
172,0,0,220,1470,4910,0,0,7147
Time,Price,%,SD
09/04 10:21,"1,417.45",0.04,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4493,0,0,5910,1370,590,0,0,864
4300,0,0,4640,1380,760,0,0,1048
3909,0,0,3840,1390,940,0,0,1278
2875,0,0,3060,1400,1190,0,0,1566
2228,0,0,2370,1410,1490,0,0,1912
1633,0,0,1760,1420,1870,0,0,2310
1137,0,0,1230,1430,2340,0,0,2807
778,0,0,810,1440,2920,0,0,3339
491,0,0,500,1450,3630,0,0,3913
293,0,0,290,1460,4480,0,0,4515
Time,Price,%,SD
09/04 10:21,"1,417.45",0.04,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4493,0,0,5910,1370,590,0,0,864
4300,0,0,4640,1380,760,0,0,1048
3909,0,0,3840,1390,940,0,0,1278
2875,0,0,3060,1400,1190,0,0,1566
2228,0,0,2370,1410,1490,0,0,1912
1633,0,0,1760,1420,1870,0,0,2310
1137,0,0,1230,1430,2340,0,0,2807
778,0,0,810,1440,2920,0,0,3339
491,0,0,500,1450,3630,0,0,3913
293,0,0,290,1460,4480,0,0,4515
Time,Price,%,SD
09/04 10:21,"1,417.45",0.04,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4493,0,0,5910,1370,590,0,0,864
4300,0,0,4640,1380,760,0,0,1048
3909,0,0,3840,1390,940,0,0,1278
2875,0,0,3060,1400,1190,0,0,1566
2228,0,0,2370,1410,1490,0,0,1912
1633,0,0,1760,1420,1870,0,0,2310
1137,0,0,1230,1430,2340,0,0,2807
778,0,0,810,1440,2920,0,0,3339
491,0,0,500,1450,3630,0,0,3913
293,0,0,290,1460,4480,0,0,4515
Time,Price,%,SD
09/04 10:23,"1,417.45",0.04,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4493,0,0,5910,1370,590,0,0,864
4300,0,0,4640,1380,760,0,0,1048
3909,0,0,3840,1390,940,0,0,1278
2875,0,0,3060,1400,1190,0,0,1566
2228,0,0,2370,1410,1490,0,0,1912
1633,0,0,1760,1420,1870,0,0,2310
1137,0,0,1230,1430,2340,0,0,2807
778,0,0,810,1440,2920,0,0,3339
491,0,0,500,1450,3630,0,0,3913
293,0,0,290,1460,4480,0,0,4515
Time,Price,%,SD
09/04 10:24,"1,417.45",0.04,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4493,0,0,5910,1370,680,0,0,864
4300,0,0,4540,1380,850,0,0,1048
3909,0,0,3660,1390,1050,0,0,1278
2875,0,0,2960,1400,1310,0,0,1566
2228,0,0,2260,1410,1630,0,0,1912
1633,0,0,1680,1420,2030,0,0,2310
1137,0,0,1170,1430,2520,0,0,2807
778,0,0,770,1440,3130,0,0,3339
491,0,0,480,1450,3840,0,0,3913
293,0,0,290,1460,4560,0,0,4515
Time,Price,%,SD
09/04 10:25,"1,420.54",0.25,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4300,0,0,4540,1380,850,0,0,1048
3909,0,0,3660,1390,1050,0,0,1278
2875,0,0,2960,1400,1310,0,0,1566
2228,0,0,2260,1410,1630,0,0,1912
1633,0,0,1680,1420,2030,0,0,2310
1137,0,0,1170,1430,2520,0,0,2807
778,0,0,770,1440,3130,0,0,3339
491,0,0,480,1450,3840,0,0,3913
293,0,0,290,1460,4560,0,0,4515
172,0,0,165,1470,5540,0,0,7147
Time,Price,%,SD
09/04 10:26,"1,420.54",0.25,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4300,0,0,4540,1380,850,0,0,1048
3909,0,0,3660,1390,1050,0,0,1278
2875,0,0,2960,1400,1310,0,0,1566
2228,0,0,2260,1410,1630,0,0,1912
1633,0,0,1680,1420,2030,0,0,2310
1137,0,0,1170,1430,2520,0,0,2807
778,0,0,770,1440,3130,0,0,3339
491,0,0,480,1450,3840,0,0,3913
293,0,0,290,1460,4560,0,0,4515
172,0,0,165,1470,5540,0,0,7147
Time,Price,%,SD
09/04 10:26,"1,420.54",0.25,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4300,0,0,4750,1380,710,0,0,1048
3909,0,0,4040,1390,900,0,0,1278
2875,0,0,3250,1400,1110,0,0,1566
2228,0,0,2540,1410,1420,0,0,1912
1633,0,0,1920,1420,1780,0,0,2310
1137,0,0,1370,1430,2270,0,0,2807
778,0,0,930,1440,2800,0,0,3339
491,0,0,600,1450,3460,0,0,3913
293,0,0,360,1460,4230,0,0,4515
172,0,0,200,1470,5200,0,0,7147
Time,Price,%,SD
09/04 10:27,"1,420.54",0.25,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4300,0,0,4750,1380,710,0,0,1048
3909,0,0,4040,1390,900,0,0,1278
2875,0,0,3250,1400,1110,0,0,1566
2228,0,0,2540,1410,1420,0,0,1912
1633,0,0,1920,1420,1780,0,0,2310
1137,0,0,1370,1430,2270,0,0,2807
778,0,0,930,1440,2800,0,0,3339
491,0,0,600,1450,3460,0,0,3913
293,0,0,360,1460,4230,0,0,4515
172,0,0,200,1470,5200,0,0,7147
Time,Price,%,SD
09/04 10:29,"1,420.54",0.25,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4300,0,0,4750,1380,710,0,0,1048
3909,0,0,4040,1390,900,0,0,1278
2875,0,0,3250,1400,1110,0,0,1566
2228,0,0,2540,1410,1420,0,0,1912
1633,0,0,1920,1420,1780,0,0,2310
1137,0,0,1370,1430,2270,0,0,2807
778,0,0,930,1440,2800,0,0,3339
491,0,0,600,1450,3460,0,0,3913
293,0,0,360,1460,4230,0,0,4515
172,0,0,200,1470,5200,0,0,7147
Time,Price,%,SD
09/04 10:29,"1,422.20",0.37,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4300,0,0,4750,1380,710,0,0,1048
3909,0,0,4040,1390,900,0,0,1278
2875,0,0,3250,1400,1110,0,0,1566
2228,0,0,2540,1410,1420,0,0,1912
1633,0,0,1920,1420,1780,0,0,2310
1137,0,0,1370,1430,2270,0,0,2807
778,0,0,930,1440,2800,0,0,3339
491,0,0,600,1450,3460,0,0,3913
293,0,0,360,1460,4230,0,0,4515
172,0,0,200,1470,5200,0,0,7147
Time,Price,%,SD
09/04 10:31,"1,422.20",0.37,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4300,0,0,4750,1380,710,0,0,1048
3909,0,0,4040,1390,900,0,0,1278
2875,0,0,3250,1400,1110,0,0,1566
2228,0,0,2540,1410,1420,0,0,1912
1633,0,0,1920,1420,1780,0,0,2310
1137,0,0,1370,1430,2270,0,0,2807
778,0,0,930,1440,2800,0,0,3339
491,0,0,600,1450,3460,0,0,3913
293,0,0,360,1460,4230,0,0,4515
172,0,0,200,1470,5200,0,0,7147
Time,Price,%,SD
09/04 10:31,"1,422.20",0.37,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4300,0,0,4750,1380,710,0,0,1048
3909,0,0,4040,1390,900,0,0,1278
2875,0,0,3250,1400,1110,0,0,1566
2228,0,0,2540,1410,1420,0,0,1912
1633,0,0,1920,1420,1780,0,0,2310
1137,0,0,1370,1430,2270,0,0,2807
778,0,0,930,1440,2800,0,0,3339
491,0,0,600,1450,3460,0,0,3913
293,0,0,360,1460,4230,0,0,4515
172,0,0,200,1470,5200,0,0,7147
Time,Price,%,SD
09/04 10:33,"1,422.20",0.37,13.13
Base,High,Low,CALL,,PUT,Low,High,Base
4300,0,0,4750,1380,710,0,0,1048
3909,0,0,4040,1390,900,0,0,1278
2875,0,0,3250,1400,1110,0,0,1566
2228,0,0,2540,1410,1420,0,0,1912
1633,0,0,1920,1420,1780,0,0,2310
1137,0,0,1370,1430,2270,0,0,2807
778,0,0,930,1440,2800,0,0,3339
491,0,0,600,1450,3460,0,0,3913
293,0,0,360,1460,4230,0,0,4515
